18,"SELECT TOP #  cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.u,p.g,p.r,p.i,p.z  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = #)"
2019-09-13 04:27:00,1
2019-09-13 07:37:00,2
2019-09-13 07:43:00,1
2019-09-13 08:01:00,1
2019-09-13 08:03:00,1
2019-09-13 08:04:00,2
2019-09-13 08:05:00,1
2019-09-13 08:08:00,1
2019-09-13 13:30:00,1
2019-09-13 13:31:00,2
2019-09-13 13:32:00,1
2019-09-13 13:34:00,1
2019-09-13 13:35:00,1
2019-09-13 13:40:00,1
2019-09-13 14:07:00,1
