20,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-09-13 01:05:00,2
2019-09-13 01:07:00,1
2019-09-13 01:08:00,1
2019-09-13 03:28:00,1
2019-09-13 03:30:00,1
2019-09-13 03:48:00,1
2019-09-13 03:57:00,1
2019-09-13 04:05:00,1
2019-09-13 04:07:00,1
2019-09-13 08:39:00,1
2019-09-13 10:49:00,1
2019-09-13 12:09:00,1
2019-09-13 12:17:00,1
2019-09-13 12:27:00,1
2019-09-13 12:28:00,1
2019-09-13 12:37:00,1
2019-09-13 12:46:00,1
2019-09-13 12:54:00,1
2019-09-13 18:44:00,1
