4,"SELECT TOP # G.objID, GN.distance, G.z, G.ra, G.dec FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN ON G.objID = GN.objID where z >.# ORDER BY distance"
2019-09-13 23:33:00,1
2019-09-13 23:34:00,3
