4,"select     s.specObjID     ,s.ra     ,s.dec     ,s.z     ,s.zErr     ,s.class     ,p.cModelMag_i into mydb.BOSSDR1#_SpeczObject from SpecObjAll as s left join PhotoObj as p on s.bestObjID = p.objID where   s.zWarning = #   AND s.z > #   AND s.zErr/(#+s.z) < #   AND s.z < #   AND s.sciencePrimary>#"
2019-09-13 08:45:00,2
2019-09-13 08:51:00,1
2019-09-13 08:52:00,1
