78714,"SELECT DISTINCT p.objID, p.type from PhotoPrimary as p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-19 09:47:00,114
2019-05-19 09:48:00,56
2019-05-19 09:55:00,62
2019-05-19 09:56:00,221
2019-05-19 09:57:00,220
2019-05-19 09:58:00,216
2019-05-19 09:59:00,222
2019-05-19 10:00:00,224
2019-05-19 10:01:00,78
2019-05-19 10:02:00,100
2019-05-19 10:03:00,68
2019-05-19 10:06:00,40
2019-05-19 10:07:00,198
2019-05-19 10:08:00,230
2019-05-19 10:09:00,225
2019-05-19 10:10:00,224
2019-05-19 10:11:00,218
2019-05-19 10:12:00,220
2019-05-19 10:13:00,233
2019-05-19 10:14:00,236
2019-05-19 10:15:00,231
2019-05-19 10:16:00,220
2019-05-19 10:17:00,221
2019-05-19 10:18:00,224
2019-05-19 10:19:00,233
2019-05-19 10:20:00,230
2019-05-19 10:21:00,232
2019-05-19 10:22:00,230
2019-05-19 10:23:00,221
2019-05-19 10:24:00,224
2019-05-19 10:25:00,222
2019-05-19 10:26:00,224
2019-05-19 10:27:00,235
2019-05-19 10:28:00,233
2019-05-19 10:29:00,233
2019-05-19 10:30:00,230
2019-05-19 10:31:00,218
2019-05-19 10:32:00,221
2019-05-19 10:33:00,224
2019-05-19 10:34:00,222
2019-05-19 10:35:00,237
2019-05-19 10:36:00,235
2019-05-19 10:37:00,235
2019-05-19 10:38:00,220
2019-05-19 10:39:00,225
2019-05-19 10:40:00,223
2019-05-19 10:41:00,221
2019-05-19 10:42:00,237
2019-05-19 10:43:00,240
2019-05-19 10:44:00,236
2019-05-19 10:45:00,224
2019-05-19 10:46:00,217
2019-05-19 10:47:00,220
2019-05-19 10:48:00,224
2019-05-19 10:49:00,228
2019-05-19 10:50:00,241
2019-05-19 10:51:00,237
2019-05-19 10:52:00,234
2019-05-19 10:53:00,227
2019-05-19 10:54:00,222
2019-05-19 10:55:00,221
2019-05-19 10:56:00,221
2019-05-19 10:57:00,243
2019-05-19 10:58:00,239
2019-05-19 10:59:00,237
2019-05-19 11:00:00,221
2019-05-19 11:01:00,223
2019-05-19 11:02:00,221
2019-05-19 11:03:00,223
2019-05-19 11:04:00,236
2019-05-19 11:05:00,137
2019-05-19 11:06:00,237
2019-05-19 11:07:00,228
2019-05-19 11:08:00,224
2019-05-19 11:09:00,225
2019-05-19 11:10:00,222
2019-05-19 11:11:00,232
2019-05-19 11:12:00,236
2019-05-19 11:13:00,240
2019-05-19 11:14:00,234
2019-05-19 11:15:00,226
2019-05-19 11:16:00,225
2019-05-19 11:17:00,228
2019-05-19 11:18:00,229
2019-05-19 11:19:00,237
2019-05-19 11:20:00,236
2019-05-19 11:21:00,237
2019-05-19 11:22:00,224
2019-05-19 11:23:00,222
2019-05-19 11:24:00,228
2019-05-19 11:25:00,221
2019-05-19 11:26:00,240
2019-05-19 11:27:00,240
2019-05-19 11:28:00,237
2019-05-19 11:29:00,233
2019-05-19 11:30:00,225
2019-05-19 11:31:00,222
2019-05-19 11:32:00,223
2019-05-19 11:33:00,226
2019-05-19 11:34:00,227
2019-05-19 11:35:00,241
2019-05-19 11:36:00,237
2019-05-19 11:37:00,229
2019-05-19 11:38:00,224
2019-05-19 11:39:00,227
2019-05-19 11:40:00,231
2019-05-19 11:41:00,241
2019-05-19 11:42:00,243
2019-05-19 11:43:00,238
2019-05-19 11:44:00,235
2019-05-19 11:45:00,221
2019-05-19 11:46:00,225
2019-05-19 11:47:00,227
2019-05-19 11:48:00,227
2019-05-19 11:49:00,219
2019-05-19 11:50:00,229
2019-05-19 11:51:00,239
2019-05-19 11:52:00,239
2019-05-19 11:53:00,191
2019-05-19 11:54:00,225
2019-05-19 11:55:00,224
2019-05-19 11:56:00,243
2019-05-19 11:57:00,240
2019-05-19 11:58:00,237
2019-05-19 11:59:00,225
2019-05-19 12:00:00,226
2019-05-19 12:01:00,222
2019-05-19 12:02:00,233
2019-05-19 12:03:00,240
2019-05-19 12:04:00,238
2019-05-19 12:05:00,176
2019-05-19 12:06:00,235
2019-05-19 12:07:00,226
2019-05-19 12:08:00,227
2019-05-19 12:09:00,229
2019-05-19 12:10:00,240
2019-05-19 12:11:00,237
2019-05-19 12:12:00,240
2019-05-19 12:13:00,235
2019-05-19 12:14:00,224
2019-05-19 12:15:00,226
2019-05-19 12:16:00,229
2019-05-19 12:17:00,229
2019-05-19 12:18:00,238
2019-05-19 12:19:00,239
2019-05-19 12:20:00,240
2019-05-19 12:21:00,229
2019-05-19 12:22:00,223
2019-05-19 12:23:00,220
2019-05-19 12:24:00,223
2019-05-19 12:25:00,234
2019-05-19 12:26:00,242
2019-05-19 12:27:00,239
2019-05-19 12:28:00,237
2019-05-19 12:29:00,225
2019-05-19 12:30:00,226
2019-05-19 12:31:00,226
