182,"SELECT fieldID ,field, run, camcol,raMin,raMax,decMin,decMax FROM Field Where raMin<# and raMax># and decMin<# and decMax>#"
2019-05-19 21:22:00,1
2019-05-19 21:35:00,26
2019-05-19 21:36:00,33
2019-05-19 21:37:00,31
2019-05-19 22:15:00,14
2019-05-19 22:18:00,13
2019-05-19 22:20:00,15
2019-05-19 22:21:00,15
2019-05-19 22:22:00,1
2019-05-19 22:23:00,1
2019-05-19 22:38:00,1
2019-05-19 22:39:00,2
2019-05-19 22:41:00,1
2019-05-19 22:43:00,1
2019-05-19 22:44:00,2
2019-05-19 22:45:00,2
2019-05-19 22:46:00,2
2019-05-19 22:49:00,1
2019-05-19 22:55:00,1
2019-05-19 22:56:00,1
2019-05-19 22:59:00,1
2019-05-19 23:02:00,1
2019-05-19 23:03:00,1
2019-05-19 23:04:00,1
2019-05-19 23:06:00,2
2019-05-19 23:07:00,1
2019-05-19 23:13:00,1
2019-05-19 23:24:00,3
2019-05-19 23:25:00,3
2019-05-19 23:55:00,1
2019-05-19 23:56:00,2
2019-05-19 23:57:00,1
