87,"select m.*,o.objid, o.photoExtractID, o.ra AS ra2, o.dec AS dec2 ,o.fuv_mag,o.fuv_magerr,o.fuv_artifact,o.nuv_mag,o.nuv_magerr,o.nuv_artifact into mydb.neigh_galex_tmp from  MyDB.initial as m CROSS APPLY dbo.fGetNearbyObjEq( m.ra, m.dec, #) AS n JOIN photoobjall as o ON n.objid=o.objid"
2019-05-19 04:04:00,1
2019-05-19 04:08:00,1
2019-05-19 04:19:00,1
2019-05-19 04:31:00,1
2019-05-19 04:42:00,1
2019-05-19 04:54:00,1
2019-05-19 05:05:00,1
2019-05-19 05:16:00,1
2019-05-19 05:26:00,1
2019-05-19 05:37:00,1
2019-05-19 05:47:00,1
2019-05-19 05:57:00,1
2019-05-19 06:08:00,1
2019-05-19 06:18:00,1
2019-05-19 06:28:00,1
2019-05-19 06:39:00,1
2019-05-19 06:49:00,1
2019-05-19 07:00:00,1
2019-05-19 07:11:00,1
2019-05-19 07:21:00,1
2019-05-19 07:32:00,1
2019-05-19 07:42:00,1
2019-05-19 07:52:00,1
2019-05-19 08:03:00,1
2019-05-19 08:13:00,1
2019-05-19 08:24:00,1
2019-05-19 08:34:00,1
2019-05-19 08:44:00,1
2019-05-19 08:57:00,1
2019-05-19 09:10:00,1
2019-05-19 09:22:00,1
2019-05-19 09:34:00,1
2019-05-19 09:46:00,1
2019-05-19 09:58:00,1
2019-05-19 10:10:00,1
2019-05-19 10:23:00,1
2019-05-19 10:36:00,1
2019-05-19 10:49:00,1
2019-05-19 11:00:00,1
2019-05-19 11:12:00,1
2019-05-19 11:23:00,1
2019-05-19 11:35:00,1
2019-05-19 11:47:00,1
2019-05-19 12:00:00,1
2019-05-19 12:13:00,1
2019-05-19 12:25:00,1
2019-05-19 12:36:00,1
2019-05-19 12:47:00,1
2019-05-19 12:57:00,1
2019-05-19 13:10:00,1
2019-05-19 13:21:00,1
2019-05-19 13:31:00,1
2019-05-19 13:42:00,1
2019-05-19 13:53:00,1
2019-05-19 14:03:00,1
2019-05-19 14:14:00,1
2019-05-19 14:24:00,1
2019-05-19 14:35:00,1
2019-05-19 14:45:00,1
2019-05-19 14:56:00,1
2019-05-19 15:06:00,1
2019-05-19 15:17:00,1
2019-05-19 15:27:00,1
2019-05-19 15:38:00,1
2019-05-19 15:49:00,1
2019-05-19 16:00:00,1
2019-05-19 16:11:00,1
2019-05-19 16:22:00,1
2019-05-19 16:33:00,1
2019-05-19 16:43:00,1
2019-05-19 16:54:00,1
2019-05-19 17:05:00,1
2019-05-19 17:16:00,1
2019-05-19 17:28:00,1
2019-05-19 17:39:00,1
2019-05-19 17:50:00,1
2019-05-19 18:01:00,1
2019-05-19 18:13:00,1
2019-05-19 18:25:00,1
2019-05-19 18:38:00,1
2019-05-19 18:49:00,1
2019-05-19 19:01:00,1
2019-05-19 19:13:00,1
2019-05-19 19:25:00,1
2019-05-19 19:36:00,1
2019-05-19 19:47:00,1
2019-05-19 19:59:00,1
