75,"SELECT DISTINCT p.objID, p.skyVersion, p.mode, p.clean, p.type, p.ra, p.dec, p.type_r, p.petroRad_r, p.deVRad_r, p.deVAB_r, p.deVPhi_r, p.expRad_r, p.expAB_r, p.expPhi_r, p.lnLExp_r, p.lnLDeV_r, psfMag_r, psffwhm_r, p.type_g, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expAB_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g, psffwhm_g, p.type_i, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expAB_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i, psffwhm_i FROM PhotoPrimary AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-19 12:07:00,1
2019-05-19 12:21:00,2
2019-05-19 12:51:00,2
2019-05-19 12:52:00,2
2019-05-19 12:53:00,3
2019-05-19 12:54:00,3
2019-05-19 12:55:00,2
2019-05-19 12:56:00,3
2019-05-19 12:57:00,3
2019-05-19 12:58:00,2
2019-05-19 12:59:00,3
2019-05-19 13:00:00,3
2019-05-19 13:01:00,3
2019-05-19 13:02:00,2
2019-05-19 13:03:00,3
2019-05-19 13:04:00,3
2019-05-19 13:05:00,2
2019-05-19 13:06:00,3
2019-05-19 13:07:00,3
2019-05-19 13:08:00,2
2019-05-19 13:09:00,3
2019-05-19 13:10:00,2
2019-05-19 13:14:00,1
2019-05-19 21:15:00,1
2019-05-19 21:18:00,1
2019-05-19 22:22:00,1
2019-05-19 22:23:00,4
2019-05-19 22:38:00,1
2019-05-19 22:39:00,3
2019-05-19 22:41:00,1
2019-05-19 22:43:00,1
2019-05-19 22:44:00,1
2019-05-19 22:45:00,1
2019-05-19 22:46:00,3
2019-05-19 22:49:00,1
