15,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-05-19 06:26:00,1
2019-05-19 06:35:00,1
2019-05-19 07:40:00,1
2019-05-19 07:59:00,1
2019-05-19 08:03:00,1
2019-05-19 08:05:00,1
2019-05-19 08:07:00,1
2019-05-19 08:08:00,1
2019-05-19 08:09:00,2
2019-05-19 08:11:00,2
2019-05-19 08:14:00,1
2019-05-19 08:15:00,2
