197,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-05-19 17:40:00,1
2019-05-19 17:44:00,1
2019-05-19 17:46:00,1
2019-05-19 17:49:00,1
2019-05-19 17:50:00,2
2019-05-19 17:54:00,1
2019-05-19 17:56:00,3
2019-05-19 17:58:00,1
2019-05-19 18:00:00,2
2019-05-19 18:01:00,2
2019-05-19 18:02:00,1
2019-05-19 18:03:00,2
2019-05-19 18:04:00,1
2019-05-19 18:05:00,1
2019-05-19 18:07:00,1
2019-05-19 18:08:00,2
2019-05-19 18:11:00,1
2019-05-19 18:12:00,1
2019-05-19 18:13:00,2
2019-05-19 18:17:00,2
2019-05-19 18:21:00,2
2019-05-19 18:24:00,1
2019-05-19 18:25:00,1
2019-05-19 18:27:00,2
2019-05-19 18:28:00,1
2019-05-19 18:33:00,1
2019-05-19 18:38:00,2
2019-05-19 18:40:00,1
2019-05-19 18:46:00,2
2019-05-19 18:47:00,1
2019-05-19 18:49:00,1
2019-05-19 18:50:00,1
2019-05-19 18:54:00,1
2019-05-19 18:59:00,3
2019-05-19 19:01:00,2
2019-05-19 19:02:00,2
2019-05-19 19:04:00,1
2019-05-19 19:05:00,1
2019-05-19 19:06:00,1
2019-05-19 19:18:00,1
2019-05-19 19:20:00,1
2019-05-19 19:21:00,1
2019-05-19 19:26:00,1
2019-05-19 19:28:00,2
2019-05-19 19:31:00,1
2019-05-19 19:33:00,1
2019-05-19 19:34:00,2
2019-05-19 19:38:00,1
2019-05-19 19:54:00,1
2019-05-19 19:56:00,2
2019-05-19 19:57:00,2
2019-05-19 20:00:00,1
2019-05-19 20:01:00,1
2019-05-19 20:03:00,2
2019-05-19 20:04:00,1
2019-05-19 20:06:00,1
2019-05-19 20:07:00,2
2019-05-19 20:08:00,2
2019-05-19 20:09:00,2
2019-05-19 20:14:00,1
2019-05-19 20:17:00,1
2019-05-19 20:18:00,1
2019-05-19 20:19:00,2
2019-05-19 20:22:00,1
2019-05-19 20:23:00,2
2019-05-19 20:24:00,1
2019-05-19 20:29:00,1
2019-05-19 20:30:00,1
2019-05-19 20:33:00,1
2019-05-19 20:34:00,1
2019-05-19 20:38:00,1
2019-05-19 20:42:00,1
2019-05-19 20:44:00,2
2019-05-19 20:46:00,1
2019-05-19 20:49:00,1
2019-05-19 20:50:00,1
2019-05-19 20:51:00,1
2019-05-19 20:54:00,1
2019-05-19 20:55:00,1
2019-05-19 20:56:00,2
2019-05-19 20:58:00,1
2019-05-19 21:01:00,1
2019-05-19 21:07:00,1
2019-05-19 21:08:00,2
2019-05-19 21:09:00,3
2019-05-19 21:15:00,1
2019-05-19 21:16:00,1
2019-05-19 21:21:00,2
2019-05-19 21:23:00,1
2019-05-19 21:24:00,2
2019-05-19 21:32:00,1
2019-05-19 21:34:00,1
2019-05-19 21:43:00,1
2019-05-19 21:46:00,1
2019-05-19 21:48:00,1
2019-05-19 21:49:00,1
2019-05-19 21:51:00,1
2019-05-19 21:59:00,1
2019-05-19 22:03:00,1
2019-05-19 22:05:00,1
2019-05-19 22:06:00,4
2019-05-19 22:07:00,1
2019-05-19 22:08:00,1
2019-05-19 22:10:00,1
2019-05-19 22:12:00,2
2019-05-19 22:15:00,1
2019-05-19 22:19:00,1
2019-05-19 22:21:00,1
2019-05-19 22:26:00,2
2019-05-19 22:27:00,3
2019-05-19 22:35:00,1
2019-05-19 22:40:00,1
2019-05-19 22:42:00,1
2019-05-19 22:43:00,1
2019-05-19 22:44:00,1
2019-05-19 22:45:00,1
2019-05-19 22:49:00,1
2019-05-19 22:52:00,2
2019-05-19 22:53:00,1
2019-05-19 22:54:00,1
2019-05-19 22:55:00,2
2019-05-19 22:58:00,1
2019-05-19 23:00:00,2
2019-05-19 23:11:00,1
2019-05-19 23:12:00,2
2019-05-19 23:14:00,1
2019-05-19 23:15:00,2
2019-05-19 23:17:00,1
2019-05-19 23:18:00,2
2019-05-19 23:19:00,1
2019-05-19 23:20:00,1
2019-05-19 23:21:00,1
2019-05-19 23:22:00,1
2019-05-19 23:26:00,1
2019-05-19 23:28:00,1
2019-05-19 23:29:00,1
2019-05-19 23:30:00,2
2019-05-19 23:31:00,1
2019-05-19 23:32:00,1
2019-05-19 23:33:00,2
2019-05-19 23:34:00,1
2019-05-19 23:35:00,2
2019-05-19 23:40:00,2
2019-05-19 23:44:00,1
2019-05-19 23:48:00,1
2019-05-19 23:59:00,1
