507,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-08-29 10:55:00,1
2019-08-29 10:58:00,1
2019-08-29 11:01:00,1
2019-08-29 11:04:00,1
2019-08-29 11:07:00,1
2019-08-29 11:09:00,2
2019-08-29 11:13:00,1
2019-08-29 11:16:00,1
2019-08-29 11:18:00,1
2019-08-29 11:21:00,2
2019-08-29 11:25:00,1
2019-08-29 11:28:00,2
2019-08-29 11:32:00,1
2019-08-29 11:34:00,1
2019-08-29 11:37:00,2
2019-08-29 11:41:00,1
2019-08-29 11:45:00,2
2019-08-29 11:50:00,1
2019-08-29 11:53:00,1
2019-08-29 11:55:00,1
2019-08-29 11:58:00,1
2019-08-29 12:01:00,1
2019-08-29 12:04:00,1
2019-08-29 12:06:00,1
2019-08-29 12:08:00,1
2019-08-29 12:09:00,1
2019-08-29 12:11:00,2
2019-08-29 12:14:00,1
2019-08-29 12:15:00,1
2019-08-29 12:18:00,2
2019-08-29 12:21:00,1
2019-08-29 12:22:00,1
2019-08-29 12:23:00,1
2019-08-29 12:26:00,1
2019-08-29 12:28:00,2
2019-08-29 12:32:00,2
2019-08-29 12:35:00,1
2019-08-29 12:37:00,1
2019-08-29 12:38:00,1
2019-08-29 12:42:00,1
2019-08-29 12:44:00,2
2019-08-29 12:48:00,1
2019-08-29 12:50:00,1
2019-08-29 12:52:00,1
2019-08-29 12:53:00,2
2019-08-29 12:58:00,1
2019-08-29 12:59:00,1
2019-08-29 13:00:00,1
2019-08-29 13:06:00,1
2019-08-29 13:10:00,1
2019-08-29 13:14:00,1
2019-08-29 13:19:00,1
2019-08-29 13:26:00,1
2019-08-29 13:32:00,2
2019-08-29 13:38:00,1
2019-08-29 13:39:00,1
2019-08-29 13:45:00,2
2019-08-29 13:51:00,1
2019-08-29 13:56:00,1
2019-08-29 14:01:00,1
2019-08-29 14:06:00,1
2019-08-29 14:12:00,1
2019-08-29 14:18:00,1
2019-08-29 14:24:00,1
2019-08-29 14:25:00,1
2019-08-29 14:34:00,1
2019-08-29 14:35:00,1
2019-08-29 14:43:00,1
2019-08-29 14:49:00,1
2019-08-29 14:55:00,2
2019-08-29 15:02:00,1
2019-08-29 15:07:00,1
2019-08-29 15:12:00,1
2019-08-29 15:16:00,1
2019-08-29 15:21:00,2
2019-08-29 15:27:00,1
2019-08-29 15:32:00,2
2019-08-29 15:35:00,2
2019-08-29 15:39:00,2
