87,"SELECT TOP # p.ra,p.dec,pz.z as redshift,pz.zErr,pz.photoErrorClass,p.u,p.g,p.r,p.i,p.z, p.petroRad_r, p.petroRad_i, p.petroRad_z, p.petroRad_g, p.petroRad_u, p.petroFlux_u,p.petroFlux_g,p.petroFlux_r,p.petroFlux_i,p.petroFlux_z, p.petroFluxIvar_u,p.petroFluxIvar_g,p.petroFluxIvar_r,p.petroFluxIvar_i,p.petroFluxIvar_z, p.modelFlux_u,p.modelFlux_g,p.modelFlux_r,p.modelFlux_i,p.modelFlux_z, p.modelFluxIvar_u,p.modelFluxIvar_g,p.modelFluxIvar_r,p.modelFluxIvar_i,p.modelFluxIvar_z, p.psfFlux_u,p.psfFlux_g,p.psfFlux_r,p.psfFlux_i,p.psfFlux_z,p.psfFluxIvar_u,p.psfFluxIvar_g,p.psfFluxIvar_r,p.psfFluxIvar_i,p.psfFluxIvar_z,p.extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,pz.absMagR, pz.absMagU FROM PhotoObj AS p JOIN Photoz AS pz ON pz.objid = p.objid, dbo.fGetNearbyObjEq(# ,# ,# ) as N WHERE p.objid = N.objID"
2019-08-29 15:37:00,18
2019-08-29 15:38:00,26
2019-08-29 22:24:00,43
