185,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-08-29 14:24:00,2
2019-08-29 14:45:00,1
2019-08-29 14:52:00,1
2019-08-29 14:53:00,2
2019-08-29 14:54:00,1
2019-08-29 14:56:00,1
2019-08-29 15:04:00,1
2019-08-29 15:05:00,1
2019-08-29 15:06:00,2
2019-08-29 15:09:00,1
2019-08-29 15:16:00,1
2019-08-29 15:17:00,1
2019-08-29 15:19:00,1
2019-08-29 15:21:00,1
2019-08-29 15:22:00,1
2019-08-29 15:33:00,1
2019-08-29 15:36:00,1
2019-08-29 15:38:00,1
2019-08-29 15:39:00,1
2019-08-29 15:41:00,1
2019-08-29 15:42:00,1
2019-08-29 15:44:00,1
2019-08-29 15:46:00,1
2019-08-29 15:49:00,1
2019-08-29 15:50:00,1
2019-08-29 15:51:00,1
2019-08-29 15:54:00,1
2019-08-29 15:59:00,1
2019-08-29 16:02:00,3
2019-08-29 16:04:00,1
2019-08-29 16:07:00,2
2019-08-29 16:09:00,2
2019-08-29 16:15:00,2
2019-08-29 16:17:00,5
2019-08-29 16:18:00,1
2019-08-29 16:20:00,1
2019-08-29 16:23:00,3
2019-08-29 16:24:00,2
2019-08-29 16:26:00,1
2019-08-29 16:27:00,1
2019-08-29 16:34:00,1
2019-08-29 16:38:00,1
2019-08-29 16:39:00,1
2019-08-29 16:41:00,1
2019-08-29 16:43:00,1
2019-08-29 16:45:00,1
2019-08-29 16:46:00,1
2019-08-29 16:48:00,1
2019-08-29 16:50:00,2
2019-08-29 16:51:00,1
2019-08-29 16:53:00,1
2019-08-29 16:54:00,1
2019-08-29 16:56:00,1
2019-08-29 16:58:00,1
2019-08-29 16:59:00,1
2019-08-29 17:00:00,1
2019-08-29 17:02:00,1
2019-08-29 17:04:00,1
2019-08-29 17:06:00,1
2019-08-29 17:07:00,1
2019-08-29 17:16:00,1
2019-08-29 17:17:00,1
2019-08-29 17:20:00,1
2019-08-29 17:21:00,1
2019-08-29 17:23:00,1
2019-08-29 17:25:00,2
2019-08-29 17:28:00,2
2019-08-29 17:31:00,1
2019-08-29 17:33:00,1
2019-08-29 17:44:00,1
2019-08-29 17:45:00,2
2019-08-29 17:48:00,1
2019-08-29 17:50:00,1
2019-08-29 17:52:00,1
2019-08-29 17:54:00,1
2019-08-29 17:55:00,1
2019-08-29 17:56:00,1
2019-08-29 17:58:00,1
2019-08-29 18:00:00,1
2019-08-29 18:02:00,2
2019-08-29 18:04:00,1
2019-08-29 18:06:00,1
2019-08-29 18:09:00,1
2019-08-29 18:12:00,3
2019-08-29 18:16:00,1
2019-08-29 18:18:00,1
2019-08-29 18:20:00,3
2019-08-29 18:22:00,1
2019-08-29 18:24:00,1
2019-08-29 18:26:00,1
2019-08-29 18:30:00,1
2019-08-29 18:31:00,1
2019-08-29 18:32:00,1
2019-08-29 18:34:00,1
2019-08-29 18:39:00,1
2019-08-29 18:48:00,1
2019-08-29 18:50:00,1
2019-08-29 18:51:00,1
2019-08-29 18:53:00,1
2019-08-29 18:55:00,1
2019-08-29 18:59:00,1
2019-08-29 19:04:00,1
2019-08-29 19:06:00,1
2019-08-29 19:12:00,2
2019-08-29 19:18:00,2
2019-08-29 19:23:00,2
2019-08-29 19:28:00,1
2019-08-29 19:34:00,1
2019-08-29 19:39:00,1
2019-08-29 19:40:00,1
2019-08-29 19:43:00,1
2019-08-29 19:46:00,1
2019-08-29 19:47:00,1
2019-08-29 19:50:00,1
2019-08-29 19:52:00,2
2019-08-29 19:55:00,1
2019-08-29 19:58:00,1
2019-08-29 19:59:00,1
2019-08-29 20:01:00,1
2019-08-29 20:03:00,2
2019-08-29 20:07:00,1
2019-08-29 20:09:00,1
2019-08-29 20:10:00,2
2019-08-29 20:11:00,1
2019-08-29 20:15:00,1
2019-08-29 20:19:00,2
2019-08-29 20:21:00,1
2019-08-29 20:22:00,1
2019-08-29 20:24:00,1
2019-08-29 20:27:00,1
2019-08-29 20:28:00,2
2019-08-29 20:29:00,2
2019-08-29 20:32:00,1
2019-08-29 20:34:00,2
2019-08-29 20:40:00,1
2019-08-29 20:41:00,1
2019-08-29 20:45:00,1
2019-08-29 20:50:00,1
2019-08-29 20:56:00,1
2019-08-29 21:08:00,1
2019-08-29 21:11:00,1
2019-08-29 21:34:00,1
2019-08-29 21:42:00,2
2019-08-29 21:48:00,1
2019-08-29 21:50:00,1
2019-08-29 21:53:00,1
2019-08-29 21:54:00,1
2019-08-29 22:10:00,3
