27,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-08-29 00:43:00,1
2019-08-29 00:47:00,1
2019-08-29 01:29:00,1
2019-08-29 03:17:00,1
2019-08-29 03:36:00,1
2019-08-29 03:49:00,1
2019-08-29 07:24:00,1
2019-08-29 07:29:00,1
2019-08-29 07:32:00,1
2019-08-29 07:33:00,1
2019-08-29 07:42:00,1
2019-08-29 08:14:00,1
2019-08-29 08:41:00,1
2019-08-29 09:55:00,1
2019-08-29 10:05:00,1
2019-08-29 10:19:00,1
2019-08-29 11:37:00,1
2019-08-29 12:50:00,1
2019-08-29 14:16:00,1
2019-08-29 14:18:00,1
2019-08-29 14:28:00,1
2019-08-29 14:32:00,1
2019-08-29 14:33:00,1
2019-08-29 14:53:00,1
2019-08-29 15:48:00,1
2019-08-29 18:46:00,1
2019-08-29 20:23:00,1
