277,"select p.ra, p.dec, s.z, p.petromag_u, p.petromag_g, p.petromag_r, p.petromag_i, p.petromag_z, p.petromagerr_u, p.petromagerr_g, p.petromagerr_r, p.petromagerr_i, p.petromagerr_z FROM fGetNearbyObjEq(#,#,#) n, PhotoObjAll p, SpecObjAll s WHERE n.objID=p.objID and p.objID=s.bestobjID"
2019-08-29 05:09:00,12
2019-08-29 05:10:00,25
2019-08-29 05:11:00,20
2019-08-29 05:13:00,18
2019-08-29 05:14:00,21
2019-08-29 05:15:00,9
2019-08-29 05:16:00,18
2019-08-29 05:17:00,17
2019-08-29 12:48:00,8
2019-08-29 12:49:00,22
2019-08-29 12:50:00,22
2019-08-29 12:51:00,23
2019-08-29 12:52:00,23
2019-08-29 12:53:00,22
2019-08-29 12:54:00,17
