100,"select p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.obj,dbo.fGetUrlFitsCFrame(fieldid,&&&),gn.distance FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID ORDER BY distance"
2019-08-29 18:48:00,3
2019-08-29 18:49:00,3
2019-08-29 18:50:00,3
2019-08-29 18:51:00,3
2019-08-29 18:52:00,3
2019-08-29 18:53:00,4
2019-08-29 18:54:00,2
2019-08-29 18:55:00,4
2019-08-29 18:56:00,3
2019-08-29 18:57:00,3
2019-08-29 18:58:00,3
2019-08-29 18:59:00,4
2019-08-29 19:00:00,3
2019-08-29 19:01:00,3
2019-08-29 19:02:00,3
2019-08-29 19:03:00,2
2019-08-29 19:04:00,4
2019-08-29 19:05:00,3
2019-08-29 19:06:00,3
2019-08-29 19:07:00,3
2019-08-29 19:08:00,3
2019-08-29 19:09:00,3
2019-08-29 19:10:00,4
2019-08-29 19:11:00,3
2019-08-29 19:12:00,3
2019-08-29 19:13:00,3
2019-08-29 19:14:00,3
2019-08-29 19:15:00,3
2019-08-29 19:16:00,4
2019-08-29 19:17:00,3
2019-08-29 19:18:00,3
2019-08-29 19:19:00,3
