283,"select p.ra, p.dec, s.z, s.mjd, s.plate, s.fiberid FROM fGetNearbyObjEq(#,#,#) n, PhotoObjAll p, SpecObjAll s WHERE n.objID=p.objID and p.objID=s.bestobjID"
2019-08-29 05:10:00,11
2019-08-29 05:19:00,12
2019-08-29 05:20:00,22
2019-08-29 05:21:00,21
2019-08-29 05:22:00,21
2019-08-29 05:23:00,23
2019-08-29 05:24:00,23
2019-08-29 05:25:00,13
2019-08-29 12:55:00,17
2019-08-29 12:56:00,24
2019-08-29 12:57:00,21
2019-08-29 12:58:00,23
2019-08-29 12:59:00,23
2019-08-29 13:00:00,22
2019-08-29 13:01:00,7
