90,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-08-29 03:35:00,4
2019-08-29 04:35:00,8
2019-08-29 10:35:00,2
2019-08-29 11:05:00,3
2019-08-29 11:35:00,3
2019-08-29 12:05:00,14
2019-08-29 12:30:00,2
2019-08-29 12:35:00,3
2019-08-29 13:00:00,2
2019-08-29 13:05:00,1
2019-08-29 13:35:00,15
2019-08-29 14:35:00,9
2019-08-29 14:50:00,1
2019-08-29 16:32:00,1
2019-08-29 16:34:00,1
2019-08-29 16:35:00,2
2019-08-29 16:36:00,1
2019-08-29 16:38:00,1
2019-08-29 16:40:00,1
2019-08-29 17:35:00,2
2019-08-29 18:05:00,1
2019-08-29 18:35:00,10
2019-08-29 19:45:00,2
2019-08-29 22:05:00,1
