23,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-08-29 03:26:00,1
2019-08-29 03:30:00,1
2019-08-29 03:34:00,1
2019-08-29 03:38:00,1
2019-08-29 03:43:00,1
2019-08-29 03:47:00,1
2019-08-29 03:55:00,1
2019-08-29 04:06:00,1
2019-08-29 04:15:00,1
2019-08-29 04:23:00,1
2019-08-29 04:32:00,1
2019-08-29 04:49:00,1
2019-08-29 04:59:00,1
2019-08-29 05:12:00,1
2019-08-29 05:23:00,1
2019-08-29 05:33:00,1
2019-08-29 05:46:00,1
2019-08-29 06:00:00,1
2019-08-29 06:15:00,1
2019-08-29 06:27:00,1
2019-08-29 06:42:00,1
2019-08-29 07:01:00,1
2019-08-29 07:17:00,1
