37,"SELECT G.ra as ra, G.dec as dec, G.cModelMag_r as mag, G.cModelMagErr_r as magerr, G.petroRad_r as rad, GN.distance as distance, # as priority, G.objID, G.flags FROM PhotoObj AS G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID ORDER BY GN.distance"
2019-09-09 18:15:00,2
2019-09-09 18:16:00,1
2019-09-09 18:21:00,2
2019-09-09 18:23:00,2
2019-09-09 18:24:00,1
2019-09-09 18:25:00,1
2019-09-09 18:27:00,2
2019-09-09 18:28:00,1
2019-09-09 18:29:00,2
2019-09-09 18:31:00,1
2019-09-09 18:32:00,1
2019-09-09 18:33:00,2
2019-09-09 18:35:00,1
2019-09-09 18:38:00,1
2019-09-09 18:40:00,1
2019-09-09 18:41:00,1
2019-09-09 19:43:00,1
2019-09-09 19:48:00,1
2019-09-09 19:49:00,1
2019-09-09 19:50:00,1
2019-09-09 19:51:00,1
2019-09-09 19:54:00,1
2019-09-09 20:01:00,1
2019-09-09 20:09:00,1
2019-09-09 20:10:00,1
2019-09-09 20:12:00,1
2019-09-09 20:14:00,1
2019-09-09 20:15:00,1
2019-09-09 23:37:00,2
2019-09-09 23:41:00,1
