497,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-09 01:16:00,1
2019-09-09 01:20:00,1
2019-09-09 01:37:00,1
2019-09-09 01:43:00,1
2019-09-09 01:45:00,1
2019-09-09 01:47:00,1
2019-09-09 01:50:00,1
2019-09-09 01:54:00,1
2019-09-09 01:56:00,1
2019-09-09 01:58:00,1
2019-09-09 02:00:00,1
2019-09-09 02:08:00,1
2019-09-09 02:09:00,1
2019-09-09 02:11:00,1
2019-09-09 02:13:00,1
2019-09-09 02:15:00,1
2019-09-09 02:17:00,1
2019-09-09 02:18:00,1
2019-09-09 02:24:00,1
2019-09-09 02:26:00,2
2019-09-09 02:30:00,1
2019-09-09 02:32:00,1
2019-09-09 02:34:00,1
2019-09-09 02:36:00,1
2019-09-09 02:38:00,1
2019-09-09 02:42:00,1
2019-09-09 02:43:00,1
2019-09-09 02:45:00,1
2019-09-09 02:47:00,1
2019-09-09 02:49:00,1
2019-09-09 02:51:00,1
2019-09-09 02:55:00,1
2019-09-09 02:57:00,1
2019-09-09 03:01:00,1
2019-09-09 03:03:00,1
2019-09-09 03:05:00,1
2019-09-09 03:07:00,1
2019-09-09 03:08:00,1
2019-09-09 03:12:00,1
2019-09-09 03:14:00,1
2019-09-09 03:15:00,1
2019-09-09 03:17:00,1
2019-09-09 03:19:00,1
2019-09-09 03:20:00,1
2019-09-09 03:21:00,1
2019-09-09 03:22:00,1
2019-09-09 03:23:00,2
2019-09-09 03:25:00,2
2019-09-09 03:26:00,2
2019-09-09 03:27:00,2
2019-09-09 03:28:00,1
2019-09-09 03:29:00,3
2019-09-09 03:30:00,1
2019-09-09 03:32:00,1
2019-09-09 03:41:00,1
2019-09-09 06:41:00,1
2019-09-09 06:42:00,1
2019-09-09 06:43:00,1
2019-09-09 06:44:00,3
2019-09-09 06:45:00,1
2019-09-09 06:51:00,1
2019-09-09 06:52:00,1
2019-09-09 06:56:00,1
2019-09-09 07:01:00,2
2019-09-09 07:06:00,2
2019-09-09 07:10:00,1
2019-09-09 07:15:00,1
2019-09-09 07:16:00,1
2019-09-09 07:19:00,1
2019-09-09 07:22:00,1
2019-09-09 07:34:00,1
2019-09-09 07:37:00,1
2019-09-09 07:48:00,1
2019-09-09 07:49:00,1
2019-09-09 07:51:00,1
2019-09-09 07:52:00,1
2019-09-09 08:05:00,1
2019-09-09 08:13:00,1
2019-09-09 08:16:00,1
2019-09-09 08:17:00,1
2019-09-09 08:20:00,1
2019-09-09 08:22:00,2
2019-09-09 08:31:00,1
2019-09-09 08:41:00,1
2019-09-09 08:46:00,1
2019-09-09 08:47:00,1
2019-09-09 09:04:00,1
2019-09-09 09:13:00,1
2019-09-09 09:15:00,1
2019-09-09 09:16:00,1
2019-09-09 09:18:00,1
2019-09-09 09:20:00,1
2019-09-09 09:21:00,1
2019-09-09 09:25:00,1
2019-09-09 09:26:00,1
2019-09-09 09:27:00,1
2019-09-09 09:28:00,1
2019-09-09 09:29:00,1
2019-09-09 09:30:00,2
2019-09-09 09:32:00,1
2019-09-09 09:33:00,2
2019-09-09 09:34:00,2
2019-09-09 09:35:00,2
2019-09-09 09:36:00,2
2019-09-09 09:37:00,2
2019-09-09 09:38:00,2
2019-09-09 09:39:00,1
2019-09-09 09:40:00,1
2019-09-09 09:41:00,2
2019-09-09 09:42:00,1
2019-09-09 09:43:00,2
2019-09-09 09:44:00,1
2019-09-09 09:45:00,1
2019-09-09 09:46:00,2
2019-09-09 09:47:00,1
2019-09-09 09:49:00,1
2019-09-09 09:50:00,1
2019-09-09 09:51:00,1
2019-09-09 09:52:00,2
2019-09-09 09:53:00,1
2019-09-09 09:54:00,1
2019-09-09 09:55:00,2
2019-09-09 09:56:00,2
2019-09-09 09:57:00,2
2019-09-09 09:58:00,2
2019-09-09 09:59:00,2
2019-09-09 10:00:00,2
2019-09-09 10:01:00,2
2019-09-09 10:02:00,1
2019-09-09 10:03:00,3
2019-09-09 10:04:00,2
2019-09-09 10:05:00,1
2019-09-09 10:06:00,2
2019-09-09 10:07:00,2
2019-09-09 10:08:00,1
2019-09-09 10:09:00,1
2019-09-09 10:10:00,1
2019-09-09 10:11:00,2
2019-09-09 10:12:00,2
2019-09-09 10:14:00,3
2019-09-09 10:15:00,1
2019-09-09 10:16:00,1
2019-09-09 10:17:00,1
2019-09-09 10:18:00,2
2019-09-09 10:19:00,2
2019-09-09 10:20:00,2
2019-09-09 10:21:00,2
2019-09-09 10:22:00,2
2019-09-09 10:23:00,2
2019-09-09 10:24:00,2
2019-09-09 10:25:00,1
2019-09-09 10:26:00,1
2019-09-09 10:27:00,3
2019-09-09 10:28:00,2
2019-09-09 10:29:00,2
2019-09-09 10:30:00,2
2019-09-09 10:31:00,2
2019-09-09 10:32:00,2
2019-09-09 10:33:00,2
2019-09-09 10:34:00,2
2019-09-09 10:35:00,1
2019-09-09 10:36:00,2
2019-09-09 10:37:00,2
2019-09-09 10:38:00,3
2019-09-09 10:39:00,3
2019-09-09 10:40:00,2
2019-09-09 10:41:00,2
2019-09-09 10:43:00,1
2019-09-09 10:44:00,3
2019-09-09 10:45:00,2
2019-09-09 10:46:00,2
2019-09-09 10:47:00,2
2019-09-09 10:48:00,2
2019-09-09 10:49:00,2
2019-09-09 10:50:00,2
2019-09-09 10:51:00,2
2019-09-09 10:52:00,3
2019-09-09 10:53:00,2
2019-09-09 10:54:00,2
2019-09-09 10:55:00,2
2019-09-09 10:56:00,2
2019-09-09 10:57:00,1
2019-09-09 10:58:00,1
2019-09-09 18:21:00,1
2019-09-09 18:37:00,1
2019-09-09 18:39:00,1
2019-09-09 18:40:00,1
2019-09-09 18:44:00,1
2019-09-09 18:46:00,1
2019-09-09 18:47:00,1
2019-09-09 18:48:00,2
2019-09-09 18:55:00,1
2019-09-09 18:56:00,1
2019-09-09 18:57:00,1
2019-09-09 18:59:00,1
2019-09-09 19:01:00,1
2019-09-09 19:05:00,2
2019-09-09 19:06:00,1
2019-09-09 19:08:00,2
2019-09-09 19:10:00,1
2019-09-09 19:11:00,1
2019-09-09 19:17:00,1
2019-09-09 19:19:00,1
2019-09-09 19:25:00,1
2019-09-09 19:28:00,1
2019-09-09 19:29:00,1
2019-09-09 19:31:00,1
2019-09-09 19:34:00,1
2019-09-09 19:35:00,1
2019-09-09 19:36:00,3
2019-09-09 19:37:00,1
2019-09-09 19:39:00,2
2019-09-09 19:40:00,1
2019-09-09 19:41:00,1
2019-09-09 19:42:00,2
2019-09-09 19:43:00,1
2019-09-09 19:44:00,1
2019-09-09 19:45:00,2
2019-09-09 19:46:00,1
2019-09-09 19:47:00,1
2019-09-09 19:49:00,1
2019-09-09 19:50:00,1
2019-09-09 19:52:00,2
2019-09-09 19:53:00,3
2019-09-09 19:54:00,2
2019-09-09 19:57:00,1
2019-09-09 19:58:00,2
2019-09-09 19:59:00,2
2019-09-09 20:02:00,1
2019-09-09 20:03:00,3
2019-09-09 20:04:00,1
2019-09-09 20:07:00,1
2019-09-09 20:08:00,2
2019-09-09 20:09:00,2
2019-09-09 20:32:00,2
2019-09-09 20:33:00,2
2019-09-09 20:34:00,1
2019-09-09 20:37:00,1
2019-09-09 20:38:00,3
2019-09-09 20:39:00,1
2019-09-09 20:46:00,1
2019-09-09 20:47:00,2
2019-09-09 20:48:00,2
2019-09-09 20:49:00,2
2019-09-09 20:50:00,2
2019-09-09 20:51:00,1
2019-09-09 20:52:00,2
2019-09-09 20:53:00,3
2019-09-09 20:54:00,1
2019-09-09 20:55:00,1
2019-09-09 20:56:00,1
2019-09-09 20:57:00,2
2019-09-09 20:58:00,3
2019-09-09 20:59:00,1
2019-09-09 21:00:00,1
2019-09-09 21:01:00,3
2019-09-09 21:02:00,1
2019-09-09 21:03:00,2
2019-09-09 21:04:00,2
2019-09-09 21:05:00,1
2019-09-09 21:06:00,1
2019-09-09 21:07:00,1
2019-09-09 21:08:00,1
2019-09-09 21:09:00,2
2019-09-09 21:10:00,1
2019-09-09 21:51:00,3
2019-09-09 21:52:00,2
2019-09-09 21:56:00,3
2019-09-09 21:57:00,2
2019-09-09 22:01:00,3
2019-09-09 22:02:00,2
2019-09-09 22:04:00,3
2019-09-09 22:05:00,2
2019-09-09 22:06:00,2
2019-09-09 22:07:00,2
2019-09-09 22:08:00,1
2019-09-09 22:09:00,3
2019-09-09 22:10:00,1
2019-09-09 22:11:00,3
2019-09-09 22:12:00,2
2019-09-09 22:13:00,1
2019-09-09 22:14:00,2
2019-09-09 22:15:00,2
2019-09-09 22:46:00,3
2019-09-09 22:47:00,1
2019-09-09 22:48:00,1
2019-09-09 22:51:00,2
2019-09-09 22:52:00,1
2019-09-09 22:53:00,1
2019-09-09 22:56:00,2
2019-09-09 22:57:00,2
2019-09-09 22:58:00,1
2019-09-09 23:10:00,2
2019-09-09 23:11:00,1
