24,select count(*) as thecount
2019-09-09 10:58:00,1
2019-09-09 11:06:00,1
2019-09-09 11:52:00,1
2019-09-09 11:54:00,1
2019-09-09 11:55:00,1
2019-09-09 12:20:00,1
2019-09-09 12:21:00,1
2019-09-09 12:47:00,2
2019-09-09 14:31:00,2
2019-09-09 15:16:00,1
2019-09-09 15:18:00,1
2019-09-09 15:51:00,1
2019-09-09 15:53:00,1
2019-09-09 15:54:00,1
2019-09-09 16:16:00,1
2019-09-09 16:17:00,1
2019-09-09 16:21:00,1
2019-09-09 16:44:00,1
2019-09-09 16:49:00,1
2019-09-09 17:42:00,1
2019-09-09 17:43:00,2
