77,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-09-09 00:17:00,2
2019-09-09 00:19:00,4
2019-09-09 00:20:00,2
2019-09-09 00:24:00,1
2019-09-09 00:25:00,2
2019-09-09 00:26:00,2
2019-09-09 00:27:00,1
2019-09-09 00:30:00,1
2019-09-09 00:34:00,1
2019-09-09 00:39:00,1
2019-09-09 00:43:00,1
2019-09-09 00:45:00,1
2019-09-09 00:52:00,1
2019-09-09 00:59:00,4
2019-09-09 01:10:00,2
2019-09-09 01:52:00,2
2019-09-09 02:08:00,2
2019-09-09 02:17:00,1
2019-09-09 02:27:00,2
2019-09-09 02:30:00,1
2019-09-09 02:32:00,2
2019-09-09 02:33:00,1
2019-09-09 02:34:00,1
2019-09-09 02:37:00,1
2019-09-09 02:38:00,2
2019-09-09 02:40:00,2
2019-09-09 02:41:00,4
2019-09-09 02:42:00,4
2019-09-09 02:43:00,1
2019-09-09 02:45:00,1
2019-09-09 02:48:00,1
2019-09-09 02:49:00,2
2019-09-09 02:50:00,1
2019-09-09 02:51:00,2
2019-09-09 02:52:00,1
2019-09-09 02:54:00,1
2019-09-09 02:55:00,1
2019-09-09 02:57:00,2
2019-09-09 02:58:00,2
2019-09-09 03:01:00,1
2019-09-09 03:07:00,1
2019-09-09 03:11:00,1
2019-09-09 03:16:00,1
2019-09-09 03:18:00,1
2019-09-09 03:52:00,1
2019-09-09 04:12:00,1
2019-09-09 04:29:00,1
2019-09-09 15:57:00,1
2019-09-09 15:58:00,1
2019-09-09 18:59:00,1
