17,"SELECT S.ra as ra, S.dec as dec, S.objID as objID, S.z as redshift, GN.distance as distance FROM SpecPhoto as S JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON S.objID = GN.objID ORDER BY S.objID"
2019-09-09 18:57:00,1
2019-09-09 19:41:00,1
2019-09-09 19:42:00,1
2019-09-09 19:48:00,1
2019-09-09 19:49:00,1
2019-09-09 19:50:00,1
2019-09-09 19:51:00,1
2019-09-09 19:54:00,1
2019-09-09 20:01:00,1
2019-09-09 20:09:00,1
2019-09-09 20:10:00,1
2019-09-09 20:12:00,1
2019-09-09 20:14:00,1
2019-09-09 20:15:00,1
2019-09-09 23:37:00,2
2019-09-09 23:41:00,1
