17,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-02-22 03:02:00,1
2019-02-22 03:07:00,2
2019-02-22 03:08:00,1
2019-02-22 03:09:00,1
2019-02-22 12:06:00,2
2019-02-22 12:08:00,1
2019-02-22 12:11:00,1
2019-02-22 12:22:00,2
2019-02-22 12:23:00,1
2019-02-22 12:58:00,1
2019-02-22 13:00:00,1
2019-02-22 13:32:00,1
2019-02-22 14:03:00,1
2019-02-22 14:07:00,1
