11,"SELECT TOP #  p.objid,p.ra,p.dec, s.specobjid, s.class, s.subclass, s.z as redshift,  s.plate, s.mjd, s.fiberid, s.snMedian FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   (s.snMedian > #) AND (s.class = &&&) AND (s.subclass LIKE &&&)"
2019-02-22 11:46:00,1
2019-02-22 15:13:00,1
2019-02-22 16:13:00,1
2019-02-22 16:20:00,1
2019-02-22 16:24:00,1
2019-02-22 16:28:00,1
2019-02-22 16:36:00,1
2019-02-22 17:41:00,2
2019-02-22 17:42:00,1
2019-02-22 17:48:00,1
