317,"SELECT ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,Err_u,Err_g,Err_r,Err_i,Err_z,flags_r,run   FROM Galaxy   WHERE   ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-22 07:14:00,6
2019-02-22 07:15:00,1
2019-02-22 07:16:00,4
2019-02-22 07:17:00,1
2019-02-22 07:21:00,1
2019-02-22 07:22:00,1
2019-02-22 07:23:00,1
2019-02-22 07:24:00,3
2019-02-22 07:26:00,1
2019-02-22 07:27:00,3
2019-02-22 07:28:00,1
2019-02-22 07:29:00,3
2019-02-22 07:32:00,1
2019-02-22 07:33:00,1
2019-02-22 07:34:00,2
2019-02-22 07:35:00,1
2019-02-22 07:39:00,1
2019-02-22 07:40:00,5
2019-02-22 07:44:00,1
2019-02-22 07:45:00,3
2019-02-22 07:46:00,1
2019-02-22 07:49:00,1
2019-02-22 07:50:00,1
2019-02-22 07:51:00,2
2019-02-22 07:52:00,4
2019-02-22 07:54:00,1
2019-02-22 07:56:00,4
2019-02-22 07:57:00,2
2019-02-22 07:59:00,1
2019-02-22 08:01:00,2
2019-02-22 08:02:00,3
2019-02-22 08:03:00,1
2019-02-22 08:04:00,1
2019-02-22 08:05:00,1
2019-02-22 08:08:00,2
2019-02-22 08:09:00,4
2019-02-22 08:10:00,1
2019-02-22 08:14:00,1
2019-02-22 08:15:00,3
2019-02-22 08:16:00,2
2019-02-22 08:19:00,1
2019-02-22 08:20:00,2
2019-02-22 08:21:00,2
2019-02-22 08:22:00,2
2019-02-22 08:23:00,1
2019-02-22 08:25:00,2
2019-02-22 08:26:00,1
2019-02-22 08:28:00,3
2019-02-22 08:31:00,1
2019-02-22 08:32:00,2
2019-02-22 08:34:00,3
2019-02-22 08:37:00,2
2019-02-22 08:39:00,1
2019-02-22 08:40:00,4
2019-02-22 08:42:00,2
2019-02-22 08:43:00,3
2019-02-22 08:45:00,1
2019-02-22 08:46:00,4
2019-02-22 08:47:00,3
2019-02-22 08:48:00,1
2019-02-22 08:51:00,1
2019-02-22 08:52:00,2
2019-02-22 08:53:00,7
2019-02-22 08:56:00,1
2019-02-22 08:58:00,2
2019-02-22 08:59:00,3
2019-02-22 09:01:00,1
2019-02-22 09:02:00,1
2019-02-22 09:04:00,1
2019-02-22 09:05:00,6
2019-02-22 09:07:00,2
2019-02-22 09:08:00,2
2019-02-22 09:10:00,1
2019-02-22 09:12:00,2
2019-02-22 09:17:00,1
2019-02-22 09:18:00,1
2019-02-22 09:27:00,2
2019-02-22 09:35:00,1
2019-02-22 09:41:00,1
2019-02-22 09:42:00,1
2019-02-22 09:47:00,1
2019-02-22 09:59:00,1
2019-02-22 10:07:00,1
2019-02-22 10:13:00,2
2019-02-22 10:14:00,1
2019-02-22 10:18:00,1
2019-02-22 10:24:00,1
2019-02-22 10:29:00,1
2019-02-22 10:35:00,1
2019-02-22 10:40:00,1
2019-02-22 10:45:00,2
2019-02-22 10:51:00,1
2019-02-22 10:56:00,1
2019-02-22 11:02:00,1
2019-02-22 11:07:00,1
2019-02-22 11:12:00,1
2019-02-22 11:18:00,1
2019-02-22 11:23:00,1
2019-02-22 11:29:00,1
2019-02-22 11:34:00,1
2019-02-22 11:39:00,1
2019-02-22 11:45:00,2
2019-02-22 11:51:00,1
2019-02-22 11:57:00,1
2019-02-22 12:02:00,1
2019-02-22 12:07:00,1
2019-02-22 12:12:00,1
2019-02-22 12:18:00,1
2019-02-22 12:23:00,1
2019-02-22 12:29:00,1
2019-02-22 12:34:00,1
2019-02-22 12:39:00,1
2019-02-22 12:45:00,3
2019-02-22 12:51:00,1
2019-02-22 12:56:00,1
2019-02-22 13:01:00,1
2019-02-22 13:07:00,1
2019-02-22 13:13:00,2
2019-02-22 13:19:00,1
2019-02-22 13:25:00,1
2019-02-22 13:31:00,1
2019-02-22 13:34:00,1
2019-02-22 13:45:00,1
2019-02-22 13:49:00,2
2019-02-22 13:54:00,1
2019-02-22 14:00:00,1
2019-02-22 14:06:00,1
2019-02-22 14:11:00,1
2019-02-22 14:18:00,2
2019-02-22 14:22:00,1
2019-02-22 15:03:00,1
2019-02-22 15:17:00,1
2019-02-22 15:23:00,1
2019-02-22 15:29:00,1
2019-02-22 15:35:00,1
2019-02-22 15:40:00,1
2019-02-22 15:45:00,1
2019-02-22 15:50:00,1
2019-02-22 15:55:00,1
2019-02-22 16:00:00,1
2019-02-22 16:05:00,1
2019-02-22 16:11:00,1
2019-02-22 16:16:00,1
2019-02-22 16:21:00,1
2019-02-22 16:27:00,1
2019-02-22 16:32:00,1
2019-02-22 16:37:00,1
2019-02-22 16:42:00,1
2019-02-22 16:48:00,1
2019-02-22 16:53:00,1
2019-02-22 16:54:00,1
2019-02-22 17:00:00,1
2019-02-22 17:02:00,1
2019-02-22 17:07:00,1
2019-02-22 17:16:00,1
2019-02-22 17:20:00,1
2019-02-22 17:25:00,1
2019-02-22 17:31:00,1
2019-02-22 17:36:00,1
2019-02-22 17:41:00,1
2019-02-22 17:48:00,1
2019-02-22 17:57:00,1
2019-02-22 18:03:00,1
2019-02-22 18:07:00,1
2019-02-22 18:13:00,1
2019-02-22 18:18:00,1
2019-02-22 18:23:00,1
2019-02-22 18:30:00,1
2019-02-22 19:02:00,1
2019-02-22 19:08:00,1
2019-02-22 19:15:00,1
2019-02-22 19:20:00,1
2019-02-22 19:25:00,1
2019-02-22 19:30:00,1
2019-02-22 19:35:00,1
2019-02-22 19:40:00,1
2019-02-22 19:46:00,1
2019-02-22 19:51:00,1
2019-02-22 19:56:00,1
2019-02-22 20:02:00,1
2019-02-22 20:07:00,1
2019-02-22 20:13:00,1
2019-02-22 20:18:00,1
2019-02-22 20:23:00,1
2019-02-22 20:29:00,1
2019-02-22 20:34:00,1
2019-02-22 20:39:00,1
2019-02-22 20:44:00,1
2019-02-22 20:49:00,1
2019-02-22 20:55:00,1
2019-02-22 21:01:00,1
2019-02-22 21:08:00,1
2019-02-22 21:13:00,1
2019-02-22 21:18:00,1
2019-02-22 21:24:00,1
2019-02-22 21:30:00,1
2019-02-22 21:35:00,1
2019-02-22 21:41:00,1
2019-02-22 21:46:00,1
2019-02-22 21:50:00,1
2019-02-22 21:56:00,1
2019-02-22 22:00:00,1
2019-02-22 22:05:00,1
2019-02-22 22:10:00,1
2019-02-22 22:16:00,1
2019-02-22 22:18:00,1
2019-02-22 22:21:00,1
2019-02-22 22:26:00,1
2019-02-22 22:31:00,1
2019-02-22 22:34:00,1
2019-02-22 22:36:00,1
2019-02-22 22:39:00,1
2019-02-22 22:45:00,1
2019-02-22 22:47:00,1
2019-02-22 22:52:00,1
2019-02-22 22:58:00,1
2019-02-22 22:59:00,1
2019-02-22 23:03:00,1
2019-02-22 23:09:00,1
2019-02-22 23:15:00,1
2019-02-22 23:19:00,1
2019-02-22 23:24:00,1
2019-02-22 23:29:00,1
2019-02-22 23:30:00,1
2019-02-22 23:35:00,1
2019-02-22 23:36:00,1
2019-02-22 23:41:00,1
2019-02-22 23:46:00,1
2019-02-22 23:51:00,1
2019-02-22 23:56:00,1
