22,select * from stellarMassFSPSGranWideDust where specObjId=#
2019-02-22 01:14:00,1
2019-02-22 01:26:00,1
2019-02-22 01:51:00,1
2019-02-22 03:34:00,1
2019-02-22 03:48:00,1
2019-02-22 04:41:00,1
2019-02-22 07:21:00,1
2019-02-22 07:27:00,1
2019-02-22 09:40:00,1
2019-02-22 10:17:00,1
2019-02-22 11:12:00,1
2019-02-22 13:28:00,1
2019-02-22 14:43:00,1
2019-02-22 16:07:00,2
2019-02-22 16:19:00,1
2019-02-22 17:45:00,1
2019-02-22 18:27:00,1
2019-02-22 22:35:00,1
2019-02-22 22:39:00,1
2019-02-22 23:04:00,1
2019-02-22 23:13:00,1
