95,select * from sppParams where specObjId=#
2019-02-22 03:31:00,1
2019-02-22 03:49:00,1
2019-02-22 04:36:00,1
2019-02-22 04:47:00,1
2019-02-22 05:42:00,1
2019-02-22 05:52:00,1
2019-02-22 06:07:00,1
2019-02-22 06:38:00,1
2019-02-22 07:14:00,1
2019-02-22 07:38:00,1
2019-02-22 08:15:00,1
2019-02-22 10:39:00,1
2019-02-22 11:17:00,1
2019-02-22 11:32:00,8
2019-02-22 11:33:00,7
2019-02-22 12:32:00,1
2019-02-22 12:58:00,3
2019-02-22 13:10:00,1
2019-02-22 13:38:00,1
2019-02-22 13:58:00,1
2019-02-22 17:48:00,1
2019-02-22 18:13:00,1
2019-02-22 19:02:00,1
2019-02-22 19:24:00,1
2019-02-22 20:09:00,20
2019-02-22 20:10:00,27
2019-02-22 20:45:00,1
2019-02-22 20:46:00,1
2019-02-22 22:19:00,1
2019-02-22 23:25:00,1
2019-02-22 23:58:00,3
2019-02-22 23:59:00,2
