6522,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z, psfWidth_u, psfWidth_g, psfWidth_r, psfWidth_i, psfWidth_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-02-22 09:42:00,6
2019-02-22 09:43:00,17
2019-02-22 09:44:00,18
2019-02-22 09:45:00,18
2019-02-22 09:46:00,17
2019-02-22 09:47:00,20
2019-02-22 09:48:00,21
2019-02-22 09:49:00,16
2019-02-22 09:50:00,23
2019-02-22 09:51:00,25
2019-02-22 09:52:00,16
2019-02-22 09:53:00,16
2019-02-22 09:54:00,22
2019-02-22 09:55:00,5
2019-02-22 10:39:00,8
2019-02-22 10:40:00,19
2019-02-22 10:41:00,24
2019-02-22 10:42:00,19
2019-02-22 10:43:00,22
2019-02-22 10:44:00,9
2019-02-22 10:45:00,9
2019-02-22 10:46:00,11
2019-02-22 10:47:00,10
2019-02-22 10:48:00,11
2019-02-22 10:49:00,10
2019-02-22 10:50:00,12
2019-02-22 10:51:00,14
2019-02-22 10:52:00,13
2019-02-22 10:53:00,7
2019-02-22 10:54:00,13
2019-02-22 10:55:00,9
2019-02-22 10:56:00,8
2019-02-22 10:57:00,16
2019-02-22 10:58:00,9
2019-02-22 10:59:00,10
2019-02-22 11:00:00,11
2019-02-22 11:01:00,11
2019-02-22 11:02:00,7
2019-02-22 11:03:00,13
2019-02-22 11:04:00,7
2019-02-22 11:05:00,11
2019-02-22 11:06:00,12
2019-02-22 11:07:00,13
2019-02-22 11:08:00,11
2019-02-22 11:09:00,8
2019-02-22 11:10:00,11
2019-02-22 12:01:00,9
2019-02-22 12:02:00,13
2019-02-22 12:03:00,9
2019-02-22 12:04:00,5
2019-02-22 12:05:00,10
2019-02-22 12:06:00,8
2019-02-22 12:07:00,11
2019-02-22 12:08:00,14
2019-02-22 12:09:00,11
2019-02-22 12:10:00,10
2019-02-22 12:11:00,10
2019-02-22 12:12:00,9
2019-02-22 12:13:00,11
2019-02-22 12:14:00,8
2019-02-22 12:15:00,11
