6,"SELECT ALL ROW_NUMBER() OVER (ORDER BY z ASC) as RowNumber, u,dered_u, g,dered_g, r,dered_r, i,dered_i, z,dered_z, ra,dec, deVRad_u, deVRad_g, deVRad_r, deVRad_i, deVRad_z, flags_r, petroR9#_r, petroR5#_r FROM Galaxy WHERE z BETWEEN # and #"
2019-02-22 17:26:00,1
2019-02-22 17:27:00,1
2019-02-22 17:28:00,1
2019-02-22 17:29:00,3
