5606,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-02-22 11:33:00,10
2019-02-22 11:41:00,9
2019-02-22 11:42:00,20
2019-02-22 11:43:00,11
2019-02-22 11:51:00,9
2019-02-22 11:52:00,20
2019-02-22 11:53:00,9
2019-02-22 12:01:00,10
2019-02-22 12:02:00,20
2019-02-22 12:03:00,9
2019-02-22 12:11:00,9
2019-02-22 12:12:00,18
2019-02-22 12:13:00,11
2019-02-22 12:21:00,9
2019-02-22 12:22:00,22
2019-02-22 12:23:00,10
2019-02-22 12:31:00,10
2019-02-22 12:32:00,20
2019-02-22 12:33:00,10
2019-02-22 12:41:00,9
2019-02-22 12:42:00,23
2019-02-22 12:43:00,10
2019-02-22 12:51:00,9
2019-02-22 12:52:00,21
2019-02-22 12:53:00,9
2019-02-22 12:54:00,2
2019-02-22 13:01:00,9
2019-02-22 13:02:00,22
2019-02-22 13:03:00,7
2019-02-22 13:04:00,2
2019-02-22 13:11:00,9
2019-02-22 13:12:00,20
2019-02-22 13:13:00,7
2019-02-22 13:14:00,2
2019-02-22 13:21:00,9
2019-02-22 13:22:00,21
2019-02-22 13:23:00,7
2019-02-22 13:24:00,2
2019-02-22 13:31:00,9
2019-02-22 13:32:00,20
2019-02-22 13:33:00,7
2019-02-22 13:34:00,2
2019-02-22 13:41:00,9
2019-02-22 13:42:00,21
2019-02-22 13:43:00,7
2019-02-22 13:44:00,2
2019-02-22 13:51:00,10
2019-02-22 13:52:00,20
2019-02-22 13:53:00,9
2019-02-22 13:54:00,2
2019-02-22 14:01:00,9
2019-02-22 14:02:00,19
2019-02-22 14:03:00,7
2019-02-22 14:04:00,2
2019-02-22 14:11:00,8
2019-02-22 14:12:00,21
2019-02-22 14:13:00,8
2019-02-22 14:14:00,2
2019-02-22 14:21:00,8
2019-02-22 14:22:00,23
2019-02-22 14:23:00,8
2019-02-22 14:24:00,2
2019-02-22 14:31:00,8
2019-02-22 14:32:00,21
2019-02-22 14:33:00,9
2019-02-22 14:34:00,2
2019-02-22 14:41:00,8
2019-02-22 14:42:00,21
2019-02-22 14:43:00,7
2019-02-22 14:44:00,2
2019-02-22 14:51:00,8
2019-02-22 14:52:00,19
2019-02-22 14:53:00,6
2019-02-22 14:54:00,4
2019-02-22 15:01:00,8
2019-02-22 15:02:00,19
2019-02-22 15:03:00,7
2019-02-22 15:04:00,4
2019-02-22 15:11:00,8
2019-02-22 15:12:00,27
2019-02-22 15:13:00,7
2019-02-22 15:14:00,4
2019-02-22 15:21:00,8
2019-02-22 15:22:00,20
2019-02-22 15:23:00,5
2019-02-22 15:24:00,4
2019-02-22 15:31:00,8
2019-02-22 15:32:00,23
2019-02-22 15:33:00,6
2019-02-22 15:34:00,6
2019-02-22 15:41:00,8
2019-02-22 15:42:00,20
2019-02-22 15:43:00,6
2019-02-22 15:44:00,4
