3,"SELECT TOP #  p.airmass_z  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-01-14 15:04:00,2
2019-01-14 15:05:00,1
