1512,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-01-14 06:37:00,1
2019-01-14 06:38:00,3
2019-01-14 06:39:00,5
2019-01-14 06:40:00,9
2019-01-14 06:41:00,1
2019-01-14 06:44:00,20
2019-01-14 06:45:00,8
2019-01-14 06:46:00,7
2019-01-14 06:47:00,7
2019-01-14 06:48:00,7
2019-01-14 06:49:00,19
2019-01-14 06:50:00,5
2019-01-14 06:51:00,6
2019-01-14 06:52:00,8
2019-01-14 06:53:00,9
2019-01-14 06:54:00,9
2019-01-14 06:55:00,9
2019-01-14 06:56:00,9
2019-01-14 06:57:00,8
2019-01-14 06:58:00,7
2019-01-14 06:59:00,7
2019-01-14 07:00:00,12
2019-01-14 07:01:00,5
2019-01-14 07:02:00,7
2019-01-14 07:03:00,8
2019-01-14 07:04:00,14
2019-01-14 07:05:00,4
2019-01-14 07:06:00,6
2019-01-14 07:07:00,13
2019-01-14 07:08:00,11
2019-01-14 07:09:00,7
2019-01-14 07:10:00,8
2019-01-14 07:11:00,13
2019-01-14 07:12:00,11
2019-01-14 07:13:00,9
2019-01-14 07:14:00,11
2019-01-14 07:15:00,10
2019-01-14 07:16:00,12
2019-01-14 07:17:00,6
