1598,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-01-14 17:13:00,14
2019-01-14 17:15:00,13
2019-01-14 17:17:00,5
2019-01-14 17:18:00,66
2019-01-14 17:19:00,51
2019-01-14 17:20:00,43
2019-01-14 17:21:00,82
2019-01-14 17:22:00,72
2019-01-14 17:23:00,65
2019-01-14 17:24:00,72
2019-01-14 17:25:00,71
2019-01-14 17:26:00,72
2019-01-14 17:27:00,68
2019-01-14 17:28:00,67
2019-01-14 17:29:00,67
2019-01-14 17:30:00,73
2019-01-14 17:31:00,74
2019-01-14 17:32:00,70
2019-01-14 17:33:00,68
2019-01-14 17:34:00,67
2019-01-14 17:35:00,74
2019-01-14 17:36:00,70
2019-01-14 17:37:00,76
2019-01-14 17:38:00,73
2019-01-14 17:39:00,71
2019-01-14 17:40:00,54
