40594,"select p.ra, p.dec, p.type,p.insidemask,p.flags_g,p.flags_i,p.flags_r,p.cModelMag_u, p.cModelMagErr_u,p.cModelMag_g, p.cModelMagErr_g,p.cModelMag_r, p.cModelMagErr_r,p.cModelMag_i, p.cModelMagErr_i,p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq(#,#,#) r on p.ObjID = r.ObjID"
2019-01-14 00:00:00,17
2019-01-14 00:01:00,17
2019-01-14 00:02:00,17
2019-01-14 00:03:00,16
2019-01-14 00:04:00,27
2019-01-14 00:05:00,38
2019-01-14 00:06:00,28
2019-01-14 00:07:00,38
2019-01-14 00:08:00,41
2019-01-14 00:09:00,42
2019-01-14 00:10:00,42
2019-01-14 00:11:00,44
2019-01-14 00:12:00,46
2019-01-14 00:13:00,45
2019-01-14 00:14:00,47
2019-01-14 00:15:00,46
2019-01-14 00:16:00,45
2019-01-14 00:17:00,46
2019-01-14 00:18:00,46
2019-01-14 00:19:00,47
2019-01-14 00:20:00,46
2019-01-14 00:21:00,46
2019-01-14 00:22:00,43
2019-01-14 00:23:00,42
2019-01-14 00:24:00,43
2019-01-14 00:25:00,34
2019-01-14 00:26:00,7
2019-01-14 00:45:00,25
2019-01-14 00:46:00,52
2019-01-14 00:47:00,53
2019-01-14 00:48:00,56
2019-01-14 00:49:00,60
2019-01-14 00:50:00,55
2019-01-14 00:51:00,66
2019-01-14 00:52:00,61
2019-01-14 00:53:00,68
2019-01-14 00:54:00,70
2019-01-14 00:55:00,67
2019-01-14 00:56:00,70
2019-01-14 00:57:00,67
2019-01-14 00:58:00,75
2019-01-14 00:59:00,64
2019-01-14 01:00:00,76
2019-01-14 01:01:00,70
2019-01-14 01:02:00,75
2019-01-14 01:03:00,72
2019-01-14 01:04:00,72
2019-01-14 01:05:00,67
2019-01-14 01:06:00,72
2019-01-14 01:07:00,79
2019-01-14 01:08:00,78
2019-01-14 01:09:00,82
2019-01-14 01:10:00,82
2019-01-14 01:11:00,79
2019-01-14 01:12:00,83
2019-01-14 01:13:00,74
2019-01-14 01:14:00,79
2019-01-14 01:15:00,73
2019-01-14 01:16:00,74
2019-01-14 01:17:00,81
2019-01-14 01:18:00,75
2019-01-14 01:19:00,80
2019-01-14 01:20:00,81
2019-01-14 01:21:00,83
2019-01-14 01:22:00,81
2019-01-14 01:23:00,84
2019-01-14 01:24:00,85
2019-01-14 01:25:00,78
2019-01-14 01:26:00,81
2019-01-14 01:27:00,80
2019-01-14 01:28:00,87
2019-01-14 01:29:00,86
2019-01-14 01:30:00,83
2019-01-14 01:31:00,87
2019-01-14 01:32:00,65
2019-01-14 01:33:00,89
2019-01-14 01:34:00,84
2019-01-14 01:35:00,84
2019-01-14 01:36:00,85
2019-01-14 01:37:00,84
2019-01-14 01:38:00,86
2019-01-14 01:39:00,87
2019-01-14 01:40:00,85
2019-01-14 01:41:00,88
2019-01-14 01:42:00,82
2019-01-14 01:43:00,91
2019-01-14 01:44:00,91
2019-01-14 01:45:00,87
2019-01-14 01:46:00,86
2019-01-14 01:47:00,90
2019-01-14 01:48:00,93
