493,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-01-14 16:06:00,1
2019-01-14 16:08:00,1
2019-01-14 16:10:00,1
2019-01-14 16:11:00,2
2019-01-14 16:12:00,1
2019-01-14 16:13:00,1
2019-01-14 16:14:00,1
2019-01-14 16:16:00,1
2019-01-14 16:17:00,1
2019-01-14 16:18:00,1
2019-01-14 16:23:00,1
2019-01-14 16:25:00,1
2019-01-14 16:28:00,2
2019-01-14 16:29:00,1
2019-01-14 16:30:00,1
2019-01-14 16:31:00,1
2019-01-14 16:32:00,1
2019-01-14 16:36:00,1
2019-01-14 16:37:00,1
2019-01-14 16:38:00,1
2019-01-14 16:39:00,1
2019-01-14 16:48:00,1
2019-01-14 16:52:00,1
2019-01-14 16:53:00,1
2019-01-14 16:55:00,1
2019-01-14 16:56:00,1
2019-01-14 16:57:00,1
2019-01-14 16:58:00,1
2019-01-14 17:00:00,1
2019-01-14 17:01:00,2
2019-01-14 17:04:00,1
2019-01-14 17:06:00,1
2019-01-14 17:07:00,1
2019-01-14 17:11:00,2
2019-01-14 17:12:00,1
2019-01-14 17:13:00,1
2019-01-14 17:14:00,1
2019-01-14 17:16:00,1
2019-01-14 17:17:00,1
2019-01-14 17:18:00,2
2019-01-14 17:30:00,1
2019-01-14 17:31:00,1
2019-01-14 17:47:00,1
2019-01-14 17:50:00,1
2019-01-14 18:11:00,1
2019-01-14 18:24:00,1
2019-01-14 18:25:00,1
2019-01-14 18:30:00,1
2019-01-14 18:31:00,1
2019-01-14 18:35:00,1
2019-01-14 18:37:00,1
2019-01-14 18:40:00,1
2019-01-14 18:41:00,2
2019-01-14 18:43:00,1
2019-01-14 18:46:00,1
2019-01-14 18:47:00,2
2019-01-14 19:00:00,5
2019-01-14 19:15:00,5
2019-01-14 19:20:00,5
2019-01-14 19:23:00,5
2019-01-14 20:43:00,3
2019-01-14 20:44:00,7
2019-01-14 20:45:00,6
2019-01-14 20:46:00,19
2019-01-14 20:47:00,20
2019-01-14 20:48:00,10
2019-01-14 20:49:00,5
2019-01-14 20:56:00,50
2019-01-14 20:58:00,20
2019-01-14 21:07:00,49
2019-01-14 21:08:00,6
2019-01-14 21:09:00,15
2019-01-14 21:11:00,10
2019-01-14 21:12:00,10
2019-01-14 21:13:00,9
2019-01-14 21:14:00,10
2019-01-14 21:15:00,1
2019-01-14 21:16:00,5
2019-01-14 21:18:00,10
2019-01-14 21:19:00,5
2019-01-14 21:20:00,15
2019-01-14 21:21:00,5
2019-01-14 21:22:00,3
2019-01-14 21:23:00,7
2019-01-14 21:30:00,40
2019-01-14 21:31:00,5
2019-01-14 21:37:00,1
2019-01-14 21:38:00,49
2019-01-14 21:40:00,15
