21,"select ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z from star where ra># and ra<# and dec># and dec<# and err_r<# and err_g<#"
2019-01-14 18:04:00,1
2019-01-14 18:12:00,1
2019-01-14 18:15:00,1
2019-01-14 18:25:00,1
2019-01-14 18:26:00,1
2019-01-14 19:11:00,1
2019-01-14 19:14:00,1
2019-01-14 19:20:00,1
2019-01-14 19:26:00,1
2019-01-14 19:31:00,1
2019-01-14 19:35:00,1
2019-01-14 19:37:00,1
2019-01-14 19:38:00,1
2019-01-14 19:40:00,1
2019-01-14 19:45:00,1
2019-01-14 19:53:00,1
2019-01-14 19:59:00,1
2019-01-14 20:05:00,2
2019-01-14 20:12:00,2
