17,"SELECT p.ra,p.dec,p.r FROM Star AS p WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-01-14 02:22:00,2
2019-01-14 02:24:00,1
2019-01-14 02:32:00,1
2019-01-14 02:42:00,1
2019-01-14 03:26:00,1
2019-01-14 03:31:00,1
2019-01-14 03:35:00,2
2019-01-14 03:37:00,2
2019-01-14 03:39:00,1
2019-01-14 03:44:00,2
2019-01-14 03:46:00,1
2019-01-14 03:50:00,1
2019-01-14 03:51:00,1
