84,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-12-02 09:42:00,2
2019-12-02 09:43:00,2
2019-12-02 09:44:00,2
2019-12-02 09:45:00,2
2019-12-02 10:03:00,2
2019-12-02 10:04:00,10
2019-12-02 10:05:00,6
2019-12-02 10:06:00,6
2019-12-02 10:07:00,10
2019-12-02 10:08:00,2
2019-12-02 10:09:00,4
2019-12-02 10:10:00,6
2019-12-02 10:12:00,2
2019-12-02 10:36:00,2
2019-12-02 10:38:00,2
2019-12-02 10:41:00,2
2019-12-02 10:44:00,2
2019-12-02 11:07:00,2
2019-12-02 11:10:00,2
2019-12-02 11:13:00,2
2019-12-02 11:16:00,2
2019-12-02 16:40:00,2
2019-12-02 16:41:00,2
2019-12-02 16:59:00,2
2019-12-02 17:02:00,2
2019-12-02 17:06:00,2
2019-12-02 17:10:00,2
