68,"SELECT p.ra, p.dec, p.psfMag_i, p.psfMagErr_i FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID AND p.psfMag_i BETWEEN # and #"
2019-12-02 22:42:00,1
2019-12-02 22:43:00,1
2019-12-02 22:44:00,1
2019-12-02 22:46:00,1
2019-12-02 22:48:00,1
2019-12-02 22:50:00,1
2019-12-02 22:52:00,2
2019-12-02 22:53:00,2
2019-12-02 22:54:00,1
2019-12-02 22:55:00,3
2019-12-02 22:56:00,1
2019-12-02 23:01:00,2
2019-12-02 23:02:00,1
2019-12-02 23:04:00,2
2019-12-02 23:06:00,1
2019-12-02 23:07:00,1
2019-12-02 23:09:00,1
2019-12-02 23:10:00,1
2019-12-02 23:11:00,1
2019-12-02 23:13:00,2
2019-12-02 23:15:00,1
2019-12-02 23:17:00,1
2019-12-02 23:18:00,2
2019-12-02 23:19:00,1
2019-12-02 23:20:00,1
2019-12-02 23:21:00,1
2019-12-02 23:22:00,1
2019-12-02 23:23:00,2
2019-12-02 23:24:00,1
2019-12-02 23:25:00,1
2019-12-02 23:26:00,1
2019-12-02 23:27:00,1
2019-12-02 23:28:00,1
2019-12-02 23:29:00,1
2019-12-02 23:30:00,1
2019-12-02 23:32:00,1
2019-12-02 23:33:00,1
2019-12-02 23:34:00,2
2019-12-02 23:36:00,2
2019-12-02 23:38:00,1
2019-12-02 23:39:00,1
2019-12-02 23:41:00,2
2019-12-02 23:42:00,1
2019-12-02 23:44:00,1
2019-12-02 23:45:00,1
2019-12-02 23:47:00,1
2019-12-02 23:48:00,1
2019-12-02 23:49:00,1
2019-12-02 23:50:00,1
2019-12-02 23:51:00,1
2019-12-02 23:53:00,1
2019-12-02 23:54:00,1
2019-12-02 23:55:00,1
2019-12-02 23:56:00,1
2019-12-02 23:57:00,1
2019-12-02 23:59:00,1
