333,select * from Field where fieldId=#
2019-12-02 00:01:00,1
2019-12-02 00:11:00,1
2019-12-02 00:45:00,1
2019-12-02 00:48:00,1
2019-12-02 00:50:00,1
2019-12-02 01:26:00,1
2019-12-02 01:34:00,1
2019-12-02 01:44:00,1
2019-12-02 02:03:00,1
2019-12-02 02:04:00,1
2019-12-02 02:12:00,2
2019-12-02 02:13:00,1
2019-12-02 03:06:00,1
2019-12-02 03:07:00,1
2019-12-02 03:11:00,1
2019-12-02 03:22:00,1
2019-12-02 03:45:00,1
2019-12-02 04:07:00,1
2019-12-02 04:17:00,2
2019-12-02 04:56:00,2
2019-12-02 04:57:00,1
2019-12-02 05:04:00,1
2019-12-02 05:25:00,1
2019-12-02 05:38:00,1
2019-12-02 05:50:00,1
2019-12-02 05:58:00,1
2019-12-02 05:59:00,1
2019-12-02 06:00:00,1
2019-12-02 06:16:00,1
2019-12-02 07:04:00,1
2019-12-02 07:14:00,1
2019-12-02 07:36:00,1
2019-12-02 07:37:00,1
2019-12-02 07:40:00,1
2019-12-02 07:43:00,1
2019-12-02 07:58:00,1
2019-12-02 08:15:00,1
2019-12-02 08:30:00,1
2019-12-02 08:34:00,1
2019-12-02 09:06:00,1
2019-12-02 09:08:00,1
2019-12-02 09:25:00,1
2019-12-02 09:30:00,1
2019-12-02 09:44:00,1
2019-12-02 09:56:00,1
2019-12-02 10:17:00,1
2019-12-02 10:32:00,15
2019-12-02 10:33:00,17
2019-12-02 10:34:00,20
2019-12-02 10:35:00,16
2019-12-02 10:36:00,11
2019-12-02 10:37:00,13
2019-12-02 10:38:00,10
2019-12-02 10:47:00,1
2019-12-02 10:48:00,1
2019-12-02 11:00:00,1
2019-12-02 11:16:00,3
2019-12-02 11:41:00,1
2019-12-02 11:43:00,1
2019-12-02 12:32:00,1
2019-12-02 12:38:00,2
2019-12-02 13:23:00,7
2019-12-02 13:24:00,13
2019-12-02 13:30:00,1
2019-12-02 13:31:00,5
2019-12-02 13:32:00,6
2019-12-02 13:33:00,5
2019-12-02 13:34:00,6
2019-12-02 13:35:00,6
2019-12-02 13:36:00,6
2019-12-02 13:37:00,6
2019-12-02 13:38:00,7
2019-12-02 13:39:00,5
2019-12-02 13:40:00,8
2019-12-02 13:41:00,4
2019-12-02 13:42:00,1
2019-12-02 13:55:00,1
2019-12-02 14:04:00,1
2019-12-02 14:19:00,1
2019-12-02 14:47:00,1
2019-12-02 14:52:00,1
2019-12-02 15:45:00,1
2019-12-02 16:14:00,1
2019-12-02 16:15:00,4
2019-12-02 16:16:00,2
2019-12-02 16:20:00,3
2019-12-02 16:21:00,6
2019-12-02 16:22:00,6
2019-12-02 16:23:00,5
2019-12-02 16:24:00,5
2019-12-02 16:25:00,6
2019-12-02 17:01:00,1
2019-12-02 17:09:00,1
2019-12-02 17:31:00,1
2019-12-02 17:37:00,1
2019-12-02 17:46:00,1
2019-12-02 18:07:00,1
2019-12-02 18:42:00,1
2019-12-02 18:46:00,1
2019-12-02 18:48:00,1
2019-12-02 19:00:00,1
2019-12-02 19:03:00,1
2019-12-02 19:09:00,1
2019-12-02 19:13:00,1
2019-12-02 19:16:00,1
2019-12-02 19:24:00,1
2019-12-02 19:33:00,1
2019-12-02 19:34:00,1
2019-12-02 19:52:00,1
2019-12-02 19:53:00,3
2019-12-02 20:01:00,1
2019-12-02 20:06:00,1
2019-12-02 20:25:00,1
2019-12-02 21:00:00,1
2019-12-02 21:06:00,1
2019-12-02 21:08:00,1
2019-12-02 21:09:00,1
2019-12-02 21:31:00,1
2019-12-02 21:54:00,2
2019-12-02 21:55:00,3
2019-12-02 22:03:00,1
2019-12-02 22:04:00,4
2019-12-02 22:43:00,1
2019-12-02 23:11:00,1
