18,"select top # objid, u, g, r, i, z, type  from PhotoObj  where mode=# and clean=# and (type=# or type=#)  order by rand()"
2019-12-02 13:57:00,1
2019-12-02 13:59:00,2
2019-12-02 14:03:00,1
2019-12-02 14:22:00,2
2019-12-02 14:23:00,1
2019-12-02 14:25:00,1
2019-12-02 14:27:00,2
2019-12-02 14:28:00,2
2019-12-02 14:37:00,1
2019-12-02 14:38:00,1
2019-12-02 14:42:00,1
2019-12-02 14:43:00,3
