317,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, n.distance*# FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-12-02 16:37:00,1
2019-12-02 16:38:00,1
2019-12-02 16:39:00,5
2019-12-02 20:06:00,1
2019-12-02 20:07:00,9
2019-12-02 20:13:00,5
2019-12-02 20:56:00,3
2019-12-02 20:58:00,2
2019-12-02 21:01:00,2
2019-12-02 21:02:00,4
2019-12-02 21:03:00,2
2019-12-02 21:07:00,5
2019-12-02 21:08:00,1
2019-12-02 21:16:00,2
2019-12-02 21:18:00,1
2019-12-02 21:21:00,5
2019-12-02 21:22:00,1
2019-12-02 21:23:00,3
2019-12-02 21:24:00,6
2019-12-02 21:25:00,2
2019-12-02 21:32:00,2
2019-12-02 21:35:00,5
2019-12-02 21:36:00,1
2019-12-02 21:37:00,2
2019-12-02 21:38:00,2
2019-12-02 21:40:00,2
2019-12-02 21:44:00,4
2019-12-02 21:45:00,2
2019-12-02 21:46:00,3
2019-12-02 21:47:00,3
2019-12-02 21:48:00,3
2019-12-02 21:50:00,1
2019-12-02 21:53:00,3
2019-12-02 21:54:00,2
2019-12-02 21:56:00,1
2019-12-02 21:58:00,2
2019-12-02 22:03:00,3
2019-12-02 22:06:00,2
2019-12-02 22:07:00,2
2019-12-02 22:09:00,6
2019-12-02 22:10:00,3
2019-12-02 22:11:00,1
2019-12-02 22:12:00,1
2019-12-02 22:13:00,1
2019-12-02 22:14:00,1
2019-12-02 22:15:00,1
2019-12-02 22:17:00,5
2019-12-02 22:18:00,1
2019-12-02 22:19:00,1
2019-12-02 22:20:00,10
2019-12-02 22:23:00,10
2019-12-02 22:25:00,16
2019-12-02 22:26:00,9
2019-12-02 22:27:00,10
2019-12-02 22:28:00,5
2019-12-02 22:30:00,4
2019-12-02 22:31:00,9
2019-12-02 22:32:00,9
2019-12-02 22:33:00,5
2019-12-02 22:35:00,5
2019-12-02 22:36:00,12
2019-12-02 22:37:00,2
2019-12-02 22:38:00,3
2019-12-02 22:39:00,9
2019-12-02 22:40:00,10
2019-12-02 22:41:00,10
2019-12-02 22:49:00,3
2019-12-02 22:50:00,1
2019-12-02 22:53:00,5
2019-12-02 23:03:00,1
2019-12-02 23:06:00,2
2019-12-02 23:14:00,2
2019-12-02 23:16:00,2
2019-12-02 23:18:00,2
2019-12-02 23:35:00,5
2019-12-02 23:36:00,1
2019-12-02 23:37:00,2
2019-12-02 23:38:00,5
2019-12-02 23:40:00,2
2019-12-02 23:41:00,1
2019-12-02 23:42:00,3
2019-12-02 23:43:00,2
2019-12-02 23:44:00,1
2019-12-02 23:45:00,7
2019-12-02 23:46:00,2
2019-12-02 23:47:00,1
2019-12-02 23:57:00,1
2019-12-02 23:59:00,1
