2,"SELECT  a.objID,  	    a.l, a.b,  f.profMean, s.spectroSynFlux_u into mydb.MyTable from PhotoObjAll as a       JOIN photoProfile as f ON a.objID=f.objID   JOIN SpecObjAll as s ON a.objID=s.bestObjID WHERE a.b > #   AND a.b < #   AND a.l > #    AND a.l < #   AND f.profMean < #"
2019-12-02 10:24:00,1
2019-12-02 10:33:00,1
