22,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-12-02 10:35:00,2
2019-12-02 10:43:00,1
2019-12-02 10:44:00,1
2019-12-02 10:45:00,2
2019-12-02 10:46:00,2
2019-12-02 10:53:00,2
2019-12-02 10:56:00,2
2019-12-02 10:58:00,1
2019-12-02 11:14:00,1
2019-12-02 11:35:00,1
2019-12-02 11:38:00,1
2019-12-02 11:39:00,1
2019-12-02 13:40:00,1
2019-12-02 15:01:00,1
2019-12-02 17:08:00,1
2019-12-02 17:57:00,1
2019-12-02 21:18:00,1
