2182,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-12-02 17:28:00,1
2019-12-02 17:36:00,4
2019-12-02 17:37:00,9
2019-12-02 17:38:00,9
2019-12-02 17:39:00,8
2019-12-02 17:40:00,9
2019-12-02 17:41:00,7
2019-12-02 17:42:00,9
2019-12-02 17:43:00,6
2019-12-02 17:44:00,7
2019-12-02 17:45:00,8
2019-12-02 17:46:00,9
2019-12-02 17:47:00,11
2019-12-02 17:48:00,14
2019-12-02 17:49:00,19
2019-12-02 17:50:00,24
2019-12-02 17:51:00,31
2019-12-02 17:52:00,30
2019-12-02 17:53:00,31
2019-12-02 17:54:00,24
2019-12-02 23:06:00,8
2019-12-02 23:07:00,32
2019-12-02 23:08:00,33
2019-12-02 23:09:00,44
2019-12-02 23:10:00,44
2019-12-02 23:11:00,43
2019-12-02 23:12:00,47
2019-12-02 23:13:00,44
2019-12-02 23:14:00,40
2019-12-02 23:15:00,41
2019-12-02 23:16:00,39
2019-12-02 23:17:00,47
2019-12-02 23:18:00,49
2019-12-02 23:19:00,41
2019-12-02 23:20:00,52
2019-12-02 23:21:00,55
2019-12-02 23:22:00,36
2019-12-02 23:23:00,34
2019-12-02 23:24:00,34
2019-12-02 23:25:00,34
2019-12-02 23:26:00,33
2019-12-02 23:27:00,41
2019-12-02 23:28:00,41
2019-12-02 23:29:00,47
2019-12-02 23:30:00,57
2019-12-02 23:31:00,51
2019-12-02 23:32:00,55
2019-12-02 23:33:00,62
2019-12-02 23:34:00,51
2019-12-02 23:35:00,50
2019-12-02 23:36:00,50
2019-12-02 23:37:00,49
2019-12-02 23:38:00,39
2019-12-02 23:39:00,43
2019-12-02 23:40:00,46
2019-12-02 23:41:00,45
2019-12-02 23:42:00,37
2019-12-02 23:43:00,33
2019-12-02 23:44:00,33
2019-12-02 23:45:00,34
2019-12-02 23:46:00,33
2019-12-02 23:47:00,42
2019-12-02 23:48:00,39
2019-12-02 23:49:00,37
2019-12-02 23:50:00,30
2019-12-02 23:51:00,30
2019-12-02 23:52:00,7
