25,"SELECT TOP # s.specobjid, s.ra, s.dec, s.z, s.velDisp, p.PetroRad_r FROM SpecObj s JOIN photoObj p ON p.objId= s.bestObjID WHERE s.class=GALAXY"
2019-11-06 10:13:00,1
2019-11-06 10:15:00,2
2019-11-06 10:16:00,1
2019-11-06 10:17:00,1
2019-11-06 10:18:00,1
2019-11-06 10:19:00,1
2019-11-06 10:30:00,3
2019-11-06 10:31:00,1
2019-11-06 10:32:00,2
2019-11-06 10:35:00,1
2019-11-06 10:42:00,1
2019-11-06 10:43:00,1
2019-11-06 10:44:00,1
2019-11-06 10:50:00,1
2019-11-06 11:01:00,1
2019-11-06 11:02:00,1
2019-11-06 11:04:00,1
2019-11-06 11:05:00,1
2019-11-06 11:09:00,1
2019-11-06 11:11:00,1
2019-11-06 11:16:00,1
