2265,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  f.z as photoz, f.zErr as photoZerr, GN.distance,  s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid  FROM PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN on p.objid = GN.objid   join Photoz as f ON f.objid = GN.objid   LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-06 12:05:00,9
2019-11-06 12:06:00,63
2019-11-06 12:07:00,67
2019-11-06 12:08:00,62
2019-11-06 12:09:00,69
2019-11-06 12:10:00,66
2019-11-06 12:11:00,31
2019-11-06 12:14:00,57
2019-11-06 12:15:00,71
2019-11-06 12:16:00,69
2019-11-06 12:17:00,73
2019-11-06 12:18:00,68
2019-11-06 12:19:00,29
2019-11-06 12:27:00,13
2019-11-06 12:30:00,116
2019-11-06 12:31:00,149
2019-11-06 12:32:00,139
2019-11-06 12:33:00,231
2019-11-06 12:34:00,124
2019-11-06 12:35:00,39
2019-11-06 12:36:00,60
2019-11-06 12:37:00,136
2019-11-06 12:38:00,158
2019-11-06 12:39:00,44
2019-11-06 12:40:00,1
2019-11-06 12:41:00,44
2019-11-06 12:45:00,9
2019-11-06 12:46:00,24
2019-11-06 12:51:00,2
2019-11-06 13:02:00,1
2019-11-06 13:03:00,23
2019-11-06 13:04:00,7
2019-11-06 13:07:00,18
2019-11-06 13:11:00,13
2019-11-06 13:12:00,20
2019-11-06 13:16:00,33
2019-11-06 13:24:00,9
2019-11-06 13:27:00,2
2019-11-06 13:28:00,31
2019-11-06 15:31:00,10
2019-11-06 15:32:00,28
2019-11-06 15:35:00,9
2019-11-06 15:38:00,4
2019-11-06 15:39:00,34
