1331,"SELECT  &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-11-06 08:18:00,2
2019-11-06 08:21:00,1
2019-11-06 08:22:00,6
2019-11-06 08:24:00,1
2019-11-06 08:28:00,1
2019-11-06 08:31:00,1
2019-11-06 08:32:00,6
2019-11-06 08:34:00,1
2019-11-06 08:38:00,1
2019-11-06 08:41:00,1
2019-11-06 08:42:00,6
2019-11-06 08:44:00,1
2019-11-06 08:48:00,1
2019-11-06 08:51:00,1
2019-11-06 08:52:00,6
2019-11-06 08:54:00,1
2019-11-06 08:58:00,1
2019-11-06 09:01:00,1
2019-11-06 09:02:00,6
2019-11-06 09:04:00,1
2019-11-06 09:08:00,1
2019-11-06 09:11:00,1
2019-11-06 09:12:00,6
2019-11-06 09:14:00,1
2019-11-06 09:18:00,1
2019-11-06 09:21:00,1
2019-11-06 09:22:00,6
2019-11-06 09:24:00,1
2019-11-06 09:28:00,1
2019-11-06 09:31:00,1
2019-11-06 09:32:00,6
2019-11-06 09:34:00,1
2019-11-06 09:38:00,1
2019-11-06 09:41:00,1
2019-11-06 09:42:00,6
2019-11-06 09:44:00,1
2019-11-06 09:48:00,1
2019-11-06 09:51:00,1
2019-11-06 09:52:00,6
2019-11-06 09:54:00,1
2019-11-06 09:58:00,1
2019-11-06 10:01:00,1
2019-11-06 10:02:00,6
2019-11-06 10:04:00,1
2019-11-06 10:08:00,1
2019-11-06 10:11:00,1
2019-11-06 10:12:00,6
2019-11-06 10:14:00,1
2019-11-06 10:18:00,1
2019-11-06 10:21:00,1
2019-11-06 10:22:00,6
2019-11-06 10:24:00,1
2019-11-06 10:28:00,2
2019-11-06 10:31:00,1
2019-11-06 10:32:00,6
2019-11-06 10:34:00,1
2019-11-06 10:38:00,1
2019-11-06 10:41:00,1
2019-11-06 10:42:00,6
2019-11-06 10:44:00,1
2019-11-06 10:48:00,1
2019-11-06 10:51:00,1
2019-11-06 10:52:00,6
2019-11-06 10:54:00,1
2019-11-06 10:58:00,1
2019-11-06 11:01:00,1
2019-11-06 11:02:00,6
2019-11-06 11:04:00,1
2019-11-06 11:08:00,1
2019-11-06 11:11:00,1
2019-11-06 11:12:00,6
2019-11-06 11:14:00,1
2019-11-06 11:18:00,1
2019-11-06 11:22:00,7
2019-11-06 11:24:00,1
2019-11-06 11:28:00,1
2019-11-06 11:32:00,7
2019-11-06 11:34:00,1
2019-11-06 11:38:00,1
2019-11-06 11:42:00,7
2019-11-06 11:44:00,1
2019-11-06 11:48:00,2
2019-11-06 11:52:00,7
2019-11-06 11:54:00,1
2019-11-06 11:58:00,1
2019-11-06 12:02:00,8
2019-11-06 12:04:00,1
2019-11-06 12:08:00,1
2019-11-06 12:12:00,7
2019-11-06 12:14:00,1
2019-11-06 12:18:00,1
2019-11-06 12:22:00,7
2019-11-06 12:24:00,1
2019-11-06 12:28:00,2
2019-11-06 12:32:00,7
2019-11-06 12:34:00,1
2019-11-06 12:38:00,1
2019-11-06 12:42:00,8
2019-11-06 12:44:00,1
2019-11-06 12:48:00,1
2019-11-06 12:52:00,7
2019-11-06 12:54:00,1
2019-11-06 12:58:00,1
2019-11-06 13:02:00,8
2019-11-06 13:04:00,1
2019-11-06 13:08:00,1
2019-11-06 13:12:00,7
2019-11-06 13:14:00,1
2019-11-06 13:18:00,2
2019-11-06 13:22:00,7
2019-11-06 13:24:00,1
2019-11-06 13:28:00,2
2019-11-06 13:32:00,7
2019-11-06 13:34:00,1
2019-11-06 13:38:00,1
2019-11-06 13:42:00,7
2019-11-06 13:44:00,1
2019-11-06 13:48:00,1
2019-11-06 13:52:00,7
2019-11-06 13:54:00,1
2019-11-06 13:58:00,1
2019-11-06 14:02:00,7
2019-11-06 14:04:00,1
2019-11-06 14:08:00,1
2019-11-06 14:12:00,7
2019-11-06 14:14:00,1
2019-11-06 14:18:00,1
2019-11-06 14:22:00,7
2019-11-06 14:24:00,1
2019-11-06 14:28:00,1
2019-11-06 14:32:00,7
2019-11-06 14:34:00,1
2019-11-06 14:38:00,1
2019-11-06 14:42:00,7
2019-11-06 14:44:00,1
2019-11-06 14:48:00,1
2019-11-06 14:52:00,7
2019-11-06 14:54:00,1
2019-11-06 14:58:00,1
2019-11-06 15:02:00,7
2019-11-06 15:04:00,1
2019-11-06 15:08:00,2
2019-11-06 15:12:00,7
2019-11-06 15:14:00,1
2019-11-06 15:18:00,1
2019-11-06 15:22:00,7
2019-11-06 15:24:00,1
2019-11-06 15:28:00,2
2019-11-06 15:32:00,7
2019-11-06 15:34:00,1
2019-11-06 15:38:00,2
2019-11-06 15:42:00,7
2019-11-06 15:44:00,1
2019-11-06 15:48:00,1
2019-11-06 15:52:00,6
2019-11-06 15:53:00,1
2019-11-06 15:54:00,1
2019-11-06 15:58:00,2
2019-11-06 16:02:00,6
2019-11-06 16:03:00,1
2019-11-06 16:04:00,1
2019-11-06 16:08:00,1
2019-11-06 16:12:00,6
2019-11-06 16:13:00,1
2019-11-06 16:14:00,1
2019-11-06 16:18:00,1
2019-11-06 16:22:00,6
2019-11-06 16:23:00,1
2019-11-06 16:24:00,1
2019-11-06 16:28:00,1
2019-11-06 16:32:00,6
2019-11-06 16:33:00,1
2019-11-06 16:34:00,1
2019-11-06 16:38:00,1
2019-11-06 16:42:00,7
2019-11-06 16:43:00,1
2019-11-06 16:44:00,1
2019-11-06 16:48:00,1
2019-11-06 16:52:00,6
2019-11-06 16:53:00,1
2019-11-06 16:54:00,1
2019-11-06 16:58:00,1
2019-11-06 17:02:00,6
2019-11-06 17:03:00,1
2019-11-06 17:04:00,1
2019-11-06 17:08:00,1
2019-11-06 17:12:00,6
2019-11-06 17:13:00,1
2019-11-06 17:14:00,1
2019-11-06 17:18:00,1
2019-11-06 17:22:00,7
2019-11-06 17:23:00,1
2019-11-06 17:24:00,1
2019-11-06 17:28:00,1
2019-11-06 17:32:00,8
2019-11-06 17:33:00,1
2019-11-06 17:34:00,1
2019-11-06 17:38:00,1
2019-11-06 17:42:00,6
2019-11-06 17:43:00,1
2019-11-06 17:44:00,1
2019-11-06 17:48:00,1
2019-11-06 17:52:00,8
2019-11-06 17:53:00,1
2019-11-06 17:54:00,1
2019-11-06 17:58:00,1
2019-11-06 18:02:00,6
2019-11-06 18:03:00,1
2019-11-06 18:04:00,1
2019-11-06 18:08:00,1
2019-11-06 18:12:00,6
2019-11-06 18:13:00,1
2019-11-06 18:14:00,1
2019-11-06 18:18:00,1
2019-11-06 18:22:00,6
2019-11-06 18:23:00,1
2019-11-06 18:24:00,1
2019-11-06 18:28:00,1
2019-11-06 18:32:00,6
2019-11-06 18:33:00,1
2019-11-06 18:34:00,1
2019-11-06 18:38:00,2
2019-11-06 18:42:00,6
2019-11-06 18:43:00,1
2019-11-06 18:44:00,1
2019-11-06 18:48:00,1
2019-11-06 18:52:00,6
2019-11-06 18:53:00,1
2019-11-06 18:54:00,1
2019-11-06 18:58:00,1
2019-11-06 19:02:00,6
2019-11-06 19:03:00,1
2019-11-06 19:04:00,1
2019-11-06 19:08:00,1
2019-11-06 19:12:00,6
2019-11-06 19:13:00,1
2019-11-06 19:14:00,1
2019-11-06 19:18:00,1
2019-11-06 19:22:00,6
2019-11-06 19:23:00,1
2019-11-06 19:24:00,1
2019-11-06 19:28:00,1
2019-11-06 19:32:00,5
2019-11-06 19:33:00,2
2019-11-06 19:34:00,1
2019-11-06 19:38:00,1
2019-11-06 19:42:00,5
2019-11-06 19:43:00,2
2019-11-06 19:44:00,1
2019-11-06 19:48:00,1
2019-11-06 19:52:00,5
2019-11-06 19:53:00,2
2019-11-06 19:54:00,1
2019-11-06 19:58:00,1
2019-11-06 20:02:00,5
2019-11-06 20:03:00,2
2019-11-06 20:04:00,1
2019-11-06 20:08:00,1
2019-11-06 20:12:00,5
2019-11-06 20:13:00,2
2019-11-06 20:14:00,1
2019-11-06 20:18:00,2
2019-11-06 20:22:00,5
2019-11-06 20:23:00,2
2019-11-06 20:24:00,1
2019-11-06 20:28:00,1
2019-11-06 20:32:00,5
2019-11-06 20:33:00,2
2019-11-06 20:34:00,1
2019-11-06 20:38:00,1
2019-11-06 20:42:00,5
2019-11-06 20:43:00,2
2019-11-06 20:44:00,1
2019-11-06 20:48:00,1
2019-11-06 20:52:00,5
2019-11-06 20:53:00,2
2019-11-06 20:54:00,1
2019-11-06 20:58:00,1
2019-11-06 21:02:00,2
2019-11-06 21:03:00,5
2019-11-06 21:04:00,1
2019-11-06 21:08:00,2
2019-11-06 21:12:00,2
2019-11-06 21:13:00,5
2019-11-06 21:14:00,1
2019-11-06 21:18:00,1
2019-11-06 21:22:00,2
2019-11-06 21:23:00,5
2019-11-06 21:24:00,1
2019-11-06 21:28:00,1
2019-11-06 21:32:00,2
2019-11-06 21:33:00,5
2019-11-06 21:34:00,1
2019-11-06 21:38:00,1
2019-11-06 21:42:00,2
2019-11-06 21:43:00,5
2019-11-06 21:44:00,1
2019-11-06 21:48:00,1
2019-11-06 21:52:00,2
2019-11-06 21:53:00,5
2019-11-06 21:54:00,1
2019-11-06 21:58:00,1
2019-11-06 22:02:00,2
2019-11-06 22:03:00,5
2019-11-06 22:04:00,1
2019-11-06 22:08:00,2
2019-11-06 22:12:00,2
2019-11-06 22:13:00,5
2019-11-06 22:14:00,1
2019-11-06 22:18:00,1
2019-11-06 22:22:00,2
2019-11-06 22:23:00,5
2019-11-06 22:24:00,1
2019-11-06 22:28:00,1
2019-11-06 22:32:00,2
2019-11-06 22:33:00,5
2019-11-06 22:34:00,1
2019-11-06 22:38:00,1
2019-11-06 22:42:00,2
2019-11-06 22:43:00,5
2019-11-06 22:44:00,1
2019-11-06 22:48:00,1
2019-11-06 22:52:00,2
2019-11-06 22:53:00,5
2019-11-06 22:54:00,1
2019-11-06 22:58:00,1
2019-11-06 23:02:00,2
2019-11-06 23:03:00,5
2019-11-06 23:04:00,1
2019-11-06 23:08:00,1
2019-11-06 23:12:00,2
2019-11-06 23:13:00,5
2019-11-06 23:14:00,1
2019-11-06 23:18:00,1
