56,"SELECT s.ra, s.dec FROM #upload u, SpecObj s     WHERE u.up_plate=s.plate       and u.up_mjd=s.mjd       and u.up_fiber=s.fiberid"
2019-11-06 06:17:00,4
2019-11-06 06:18:00,4
2019-11-06 06:37:00,3
2019-11-06 06:38:00,2
2019-11-06 06:41:00,1
2019-11-06 06:42:00,2
2019-11-06 06:49:00,3
2019-11-06 06:53:00,8
2019-11-06 06:54:00,4
2019-11-06 06:55:00,3
2019-11-06 06:56:00,3
2019-11-06 06:58:00,1
2019-11-06 07:08:00,4
2019-11-06 09:23:00,1
2019-11-06 09:28:00,1
2019-11-06 09:29:00,2
2019-11-06 09:30:00,3
2019-11-06 09:31:00,6
2019-11-06 09:40:00,1
