180,select count(*) from [myscratch:default].decals_test3 where brickname = &&&
2019-11-06 02:45:00,1
2019-11-06 02:46:00,1
2019-11-06 02:47:00,1
2019-11-06 02:48:00,1
2019-11-06 02:49:00,1
2019-11-06 02:50:00,1
2019-11-06 02:51:00,1
2019-11-06 02:52:00,1
2019-11-06 02:53:00,1
2019-11-06 02:54:00,1
2019-11-06 02:55:00,1
2019-11-06 02:56:00,1
2019-11-06 02:58:00,1
2019-11-06 02:59:00,1
2019-11-06 03:00:00,1
2019-11-06 03:01:00,1
2019-11-06 03:02:00,1
2019-11-06 03:03:00,1
2019-11-06 03:04:00,1
2019-11-06 03:05:00,1
2019-11-06 03:06:00,1
2019-11-06 03:07:00,1
2019-11-06 03:08:00,1
2019-11-06 03:09:00,1
2019-11-06 03:10:00,1
2019-11-06 03:11:00,1
2019-11-06 03:12:00,1
2019-11-06 03:13:00,1
2019-11-06 04:52:00,1
2019-11-06 04:53:00,1
2019-11-06 04:54:00,1
2019-11-06 04:55:00,1
2019-11-06 04:56:00,1
2019-11-06 04:57:00,1
2019-11-06 04:58:00,1
2019-11-06 04:59:00,1
2019-11-06 05:00:00,1
2019-11-06 05:01:00,1
2019-11-06 05:02:00,1
2019-11-06 05:03:00,1
2019-11-06 05:04:00,1
2019-11-06 05:05:00,1
2019-11-06 05:06:00,1
2019-11-06 05:07:00,1
2019-11-06 05:08:00,1
2019-11-06 05:09:00,1
2019-11-06 05:10:00,1
2019-11-06 05:11:00,1
2019-11-06 05:12:00,1
2019-11-06 05:13:00,1
2019-11-06 05:14:00,1
2019-11-06 05:16:00,1
2019-11-06 05:17:00,1
2019-11-06 05:18:00,1
2019-11-06 05:19:00,1
2019-11-06 05:20:00,1
2019-11-06 05:21:00,1
2019-11-06 05:22:00,1
2019-11-06 05:23:00,1
2019-11-06 05:24:00,1
2019-11-06 05:25:00,1
2019-11-06 05:26:00,1
2019-11-06 05:27:00,1
2019-11-06 05:28:00,1
2019-11-06 05:29:00,1
2019-11-06 05:30:00,1
2019-11-06 05:31:00,1
2019-11-06 05:32:00,1
2019-11-06 05:33:00,1
2019-11-06 05:34:00,1
2019-11-06 05:35:00,1
2019-11-06 05:36:00,1
2019-11-06 05:38:00,1
2019-11-06 05:39:00,1
2019-11-06 05:40:00,1
2019-11-06 05:41:00,1
2019-11-06 05:42:00,1
2019-11-06 05:43:00,1
2019-11-06 05:44:00,1
2019-11-06 05:45:00,1
2019-11-06 05:46:00,1
2019-11-06 05:47:00,1
2019-11-06 05:48:00,1
2019-11-06 05:49:00,1
2019-11-06 05:50:00,1
2019-11-06 05:51:00,1
2019-11-06 05:52:00,1
2019-11-06 05:53:00,1
2019-11-06 05:54:00,1
2019-11-06 05:55:00,1
2019-11-06 05:57:00,1
2019-11-06 05:58:00,1
2019-11-06 05:59:00,1
2019-11-06 06:00:00,1
2019-11-06 06:01:00,1
2019-11-06 06:02:00,1
2019-11-06 06:03:00,1
2019-11-06 06:04:00,1
2019-11-06 06:05:00,1
2019-11-06 06:06:00,1
2019-11-06 06:07:00,1
2019-11-06 06:08:00,1
2019-11-06 06:09:00,1
2019-11-06 06:10:00,1
2019-11-06 06:11:00,1
2019-11-06 06:12:00,1
2019-11-06 06:13:00,1
2019-11-06 06:14:00,1
2019-11-06 06:16:00,1
2019-11-06 06:17:00,1
2019-11-06 06:18:00,1
2019-11-06 06:19:00,1
2019-11-06 06:20:00,1
2019-11-06 06:21:00,1
2019-11-06 06:22:00,1
2019-11-06 06:23:00,1
2019-11-06 06:24:00,1
2019-11-06 06:58:00,1
2019-11-06 07:00:00,1
2019-11-06 07:01:00,1
2019-11-06 07:02:00,1
2019-11-06 07:03:00,1
2019-11-06 07:04:00,1
2019-11-06 07:05:00,1
2019-11-06 07:06:00,1
2019-11-06 07:07:00,1
2019-11-06 07:08:00,1
2019-11-06 07:09:00,1
2019-11-06 07:10:00,1
2019-11-06 07:11:00,1
2019-11-06 07:12:00,1
2019-11-06 07:13:00,1
2019-11-06 07:14:00,1
2019-11-06 07:15:00,1
2019-11-06 07:16:00,1
2019-11-06 07:17:00,1
2019-11-06 07:18:00,1
2019-11-06 07:20:00,1
2019-11-06 07:21:00,1
2019-11-06 07:22:00,1
2019-11-06 07:23:00,1
2019-11-06 07:24:00,1
2019-11-06 07:25:00,1
2019-11-06 07:26:00,1
2019-11-06 07:27:00,1
2019-11-06 07:28:00,1
2019-11-06 07:29:00,1
2019-11-06 07:30:00,1
2019-11-06 07:31:00,1
2019-11-06 07:33:00,1
2019-11-06 07:34:00,1
2019-11-06 07:35:00,1
2019-11-06 07:36:00,1
2019-11-06 07:37:00,1
2019-11-06 07:38:00,1
2019-11-06 07:39:00,1
2019-11-06 07:40:00,1
2019-11-06 07:42:00,1
2019-11-06 07:43:00,1
2019-11-06 07:44:00,1
2019-11-06 07:45:00,1
2019-11-06 07:46:00,1
2019-11-06 07:47:00,1
2019-11-06 07:48:00,1
2019-11-06 07:49:00,1
2019-11-06 07:51:00,1
2019-11-06 07:52:00,1
2019-11-06 07:53:00,1
2019-11-06 07:54:00,1
2019-11-06 07:55:00,1
2019-11-06 07:56:00,1
2019-11-06 07:57:00,1
2019-11-06 08:00:00,1
2019-11-06 08:01:00,1
2019-11-06 08:02:00,1
2019-11-06 08:03:00,1
2019-11-06 08:05:00,1
2019-11-06 08:06:00,1
2019-11-06 08:07:00,1
2019-11-06 08:08:00,1
