207,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-11-06 00:40:00,2
2019-11-06 03:15:00,1
2019-11-06 04:20:00,1
2019-11-06 06:20:00,2
2019-11-06 06:25:00,4
2019-11-06 07:35:00,6
2019-11-06 09:55:00,1
2019-11-06 09:56:00,5
2019-11-06 12:35:00,6
2019-11-06 12:50:00,5
2019-11-06 15:25:00,4
2019-11-06 15:35:00,4
2019-11-06 18:05:00,1
2019-11-06 18:20:00,1
2019-11-06 18:30:00,10
2019-11-06 18:45:00,34
2019-11-06 18:46:00,35
2019-11-06 18:47:00,36
2019-11-06 18:48:00,34
2019-11-06 18:49:00,9
2019-11-06 21:40:00,6
