119,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-11-06 00:49:00,1
2019-11-06 00:59:00,1
2019-11-06 01:02:00,1
2019-11-06 01:03:00,1
2019-11-06 01:42:00,2
2019-11-06 01:46:00,1
2019-11-06 01:55:00,1
2019-11-06 02:13:00,3
2019-11-06 02:14:00,1
2019-11-06 02:29:00,1
2019-11-06 03:53:00,3
2019-11-06 03:56:00,1
2019-11-06 04:08:00,2
2019-11-06 04:11:00,1
2019-11-06 04:48:00,1
2019-11-06 05:10:00,1
2019-11-06 05:12:00,1
2019-11-06 05:39:00,1
2019-11-06 07:07:00,2
2019-11-06 09:25:00,1
2019-11-06 09:26:00,1
2019-11-06 09:27:00,2
2019-11-06 10:12:00,1
2019-11-06 10:16:00,2
2019-11-06 10:42:00,4
2019-11-06 10:51:00,1
2019-11-06 10:53:00,2
2019-11-06 11:01:00,1
2019-11-06 11:34:00,1
2019-11-06 12:11:00,1
2019-11-06 12:51:00,1
2019-11-06 12:53:00,1
2019-11-06 13:03:00,1
2019-11-06 13:04:00,1
2019-11-06 13:46:00,1
2019-11-06 13:49:00,2
2019-11-06 13:57:00,1
2019-11-06 13:58:00,1
2019-11-06 14:00:00,1
2019-11-06 14:03:00,1
2019-11-06 14:07:00,1
2019-11-06 14:19:00,1
2019-11-06 14:36:00,1
2019-11-06 15:16:00,1
2019-11-06 15:46:00,2
2019-11-06 15:47:00,3
2019-11-06 15:48:00,2
2019-11-06 15:53:00,2
2019-11-06 16:09:00,2
2019-11-06 16:10:00,3
2019-11-06 16:29:00,1
2019-11-06 16:30:00,1
2019-11-06 16:37:00,2
2019-11-06 17:04:00,1
2019-11-06 17:11:00,1
2019-11-06 17:12:00,1
2019-11-06 18:10:00,1
2019-11-06 18:56:00,6
2019-11-06 21:55:00,1
2019-11-06 21:57:00,1
2019-11-06 22:16:00,1
2019-11-06 22:18:00,1
2019-11-06 22:19:00,3
2019-11-06 22:21:00,1
2019-11-06 22:25:00,1
2019-11-06 22:26:00,1
2019-11-06 22:27:00,2
2019-11-06 22:28:00,1
2019-11-06 22:29:00,2
2019-11-06 22:31:00,2
2019-11-06 22:32:00,1
2019-11-06 22:43:00,1
2019-11-06 22:49:00,2
2019-11-06 22:50:00,1
2019-11-06 22:55:00,1
2019-11-06 23:05:00,1
2019-11-06 23:16:00,1
2019-11-06 23:30:00,1
2019-11-06 23:34:00,1
2019-11-06 23:40:00,1
2019-11-06 23:49:00,3
2019-11-06 23:55:00,1
2019-11-06 23:57:00,1
