3867,"SELECT  objid,ra,dec,u,g,r,i,z FROM PhotoObj WHERE  ra<(#) AND ra>(#)  AND dec<(#) AND dec>(#)  AND type=#"
2019-12-21 20:33:00,22
2019-12-21 20:34:00,41
2019-12-21 20:35:00,47
2019-12-21 20:36:00,48
2019-12-21 20:37:00,52
2019-12-21 20:38:00,45
2019-12-21 20:39:00,56
2019-12-21 20:40:00,58
2019-12-21 20:41:00,54
2019-12-21 20:42:00,47
2019-12-21 20:43:00,55
2019-12-21 20:44:00,23
2019-12-21 20:47:00,13
2019-12-21 20:48:00,25
2019-12-21 20:49:00,75
2019-12-21 20:50:00,72
2019-12-21 20:51:00,64
2019-12-21 20:52:00,62
2019-12-21 20:53:00,76
2019-12-21 20:54:00,79
2019-12-21 20:55:00,76
2019-12-21 20:56:00,45
2019-12-21 20:57:00,42
2019-12-21 20:58:00,59
2019-12-21 20:59:00,41
2019-12-21 21:00:00,33
2019-12-21 21:01:00,33
2019-12-21 21:02:00,24
2019-12-21 21:03:00,16
2019-12-21 21:04:00,11
2019-12-21 21:05:00,14
2019-12-21 21:06:00,16
2019-12-21 21:07:00,17
2019-12-21 21:08:00,18
2019-12-21 21:09:00,19
2019-12-21 21:10:00,19
2019-12-21 21:11:00,23
2019-12-21 21:12:00,21
2019-12-21 21:13:00,24
2019-12-21 21:14:00,23
2019-12-21 21:15:00,24
2019-12-21 21:16:00,22
2019-12-21 21:17:00,26
2019-12-21 21:18:00,19
2019-12-21 21:19:00,18
2019-12-21 21:20:00,22
2019-12-21 21:21:00,22
2019-12-21 21:22:00,21
2019-12-21 21:23:00,20
2019-12-21 21:24:00,21
2019-12-21 21:25:00,17
2019-12-21 21:26:00,18
2019-12-21 21:27:00,23
2019-12-21 21:28:00,22
2019-12-21 21:29:00,23
2019-12-21 21:30:00,25
2019-12-21 21:31:00,28
2019-12-21 21:32:00,29
2019-12-21 21:33:00,23
2019-12-21 21:34:00,30
2019-12-21 21:35:00,26
2019-12-21 21:36:00,27
2019-12-21 21:37:00,28
2019-12-21 21:38:00,52
2019-12-21 21:39:00,40
2019-12-21 23:13:00,27
2019-12-21 23:14:00,72
2019-12-21 23:15:00,80
2019-12-21 23:16:00,75
2019-12-21 23:17:00,81
2019-12-21 23:18:00,81
2019-12-21 23:19:00,78
2019-12-21 23:20:00,79
2019-12-21 23:21:00,51
2019-12-21 23:22:00,67
2019-12-21 23:23:00,42
2019-12-21 23:24:00,36
2019-12-21 23:25:00,29
2019-12-21 23:26:00,20
2019-12-21 23:27:00,14
2019-12-21 23:28:00,22
2019-12-21 23:29:00,25
2019-12-21 23:30:00,24
2019-12-21 23:31:00,28
2019-12-21 23:32:00,28
2019-12-21 23:33:00,21
2019-12-21 23:34:00,22
2019-12-21 23:35:00,16
2019-12-21 23:36:00,18
2019-12-21 23:37:00,26
2019-12-21 23:38:00,22
2019-12-21 23:39:00,18
2019-12-21 23:40:00,17
2019-12-21 23:41:00,17
2019-12-21 23:42:00,23
2019-12-21 23:43:00,14
2019-12-21 23:44:00,15
2019-12-21 23:45:00,20
2019-12-21 23:46:00,19
2019-12-21 23:47:00,20
2019-12-21 23:48:00,24
2019-12-21 23:49:00,31
2019-12-21 23:50:00,31
2019-12-21 23:51:00,31
2019-12-21 23:52:00,32
2019-12-21 23:53:00,40
2019-12-21 23:54:00,37
2019-12-21 23:55:00,32
2019-12-21 23:56:00,30
2019-12-21 23:57:00,32
2019-12-21 23:58:00,63
2019-12-21 23:59:00,23
