2836,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-12-21 05:48:00,98
2019-12-21 05:49:00,65
2019-12-21 05:50:00,104
2019-12-21 05:51:00,60
2019-12-21 05:52:00,101
2019-12-21 05:53:00,45
2019-12-21 05:54:00,66
2019-12-21 05:55:00,33
2019-12-21 05:56:00,31
2019-12-21 06:33:00,90
2019-12-21 06:34:00,12
2019-12-21 06:35:00,9
2019-12-21 06:36:00,61
2019-12-21 06:37:00,30
2019-12-21 06:38:00,18
2019-12-21 06:39:00,41
2019-12-21 06:40:00,41
2019-12-21 06:41:00,19
2019-12-21 06:42:00,31
2019-12-21 06:43:00,42
2019-12-21 06:44:00,12
2019-12-21 06:45:00,26
2019-12-21 06:46:00,26
2019-12-21 06:47:00,1
2019-12-21 06:49:00,1
2019-12-21 20:24:00,167
2019-12-21 20:25:00,63
2019-12-21 20:26:00,114
2019-12-21 20:27:00,74
2019-12-21 20:28:00,98
2019-12-21 20:29:00,65
2019-12-21 20:30:00,71
2019-12-21 20:31:00,27
2019-12-21 20:32:00,21
2019-12-21 20:49:00,139
2019-12-21 20:50:00,40
2019-12-21 20:51:00,107
2019-12-21 20:52:00,58
2019-12-21 20:53:00,105
2019-12-21 20:54:00,49
2019-12-21 20:55:00,65
2019-12-21 20:56:00,37
2019-12-21 20:57:00,5
2019-12-21 20:59:00,84
2019-12-21 21:00:00,30
2019-12-21 21:01:00,87
2019-12-21 21:02:00,24
2019-12-21 21:03:00,80
2019-12-21 21:04:00,29
2019-12-21 21:05:00,68
2019-12-21 21:06:00,18
2019-12-21 21:07:00,47
2019-12-21 21:08:00,1
